Species	Unknown_disease_FRRP	Black_band_disease_FRRP	Dark_spots_FRRP	Red_band_FRRP	White_band_FRRP	White_plague_FRRP	White_spot_FRRP	Yellow_band_FRRP	Algal_infection_HICORDIS	Algal_overgrowth_HICORDIS	Black_band_disease_HICORDIS	Bleaching_HICORDIS	Ciliates_HICORDIS	Corallophila_huysmansii_HICORDIS	Cyanobacteria_HICORDIS	Discoloration_HICORDIS	Endolithic_fungal_infection_HICORDIS	Endolithic_hypermycosis_HICORDIS	Gear_entanglement_HICORDIS	Growth_anomalies_HICORDIS	Macroalgal_overgrowth_HICORDIS	No_Disease_HICORDIS	Pigmentation_response_HICORDIS	Predation_HICORDIS	Recently_denuded_skeleton_HICORDIS	Swollen_patches_HICORDIS	Tissue_loss_HICORDIS	Trematodiasis_HICORDIS	White_syndrome_HICORDIS	Total_diseased_Lamb_et_al	Total_compromised_or_bleached_Lamb_et_al	White_syndrome_Lamb_et_al	Black_band_disease_Lamb_et_al	Brown_band_Lamb_et_al	Skeletal_eroding_band_Lamb_et_al	Growth_anomalies_Lamb_et_al
FAV_Echinopora																														0.018768046	0.062078922	0.00481232	0.003368624	0.000481232	0.010105871	0
FAV_Favia																														0.004838109	0.061034611	0.002605136	0.000372162	0.000372162	0	0.000372162
FAV_Favia_fragum	0.752	0	0	0	0	0	0	0																												
FAV_Favites																														0.005855291	0.061480552	0.003764115	0.000418235	0	0.000418235	0.001254705
FAV_Goniastrea																														0.002880184	0.052995392	0.001152074	0	0	0.000576037	0
FAV_Leptastrea									0	0	0	0.022653722	0	0	0	0	0	0	0	0	0.002427184	0.974919094	0	0	0	0	0	0	0	0.006535948	0.050653595	0	0.001633987	0	0.004901961	0
FAV_Leptastrea_pruinosa									0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0							
FAV_Leptastrea_purpurea									0	0.023972603	0	0.087328767	0	0	0	0	0	0	0	0.001712329	0.003424658	0.880136986	0.003424658	0	0	0	0	0	0							
FAV_Leptastrea_transversa									0	0.018518519	0	0.055555556	0	0	0	0	0	0	0	0	0	0.925925926	0	0	0	0	0	0	0							
FAV_Leptoria																														0.037234043	0.063829787	0.010638298	0	0.010638298	0.015957447	0
FAV_Manicina_areolata	0	0	0	0	0	0	0	0																												
FAV_Montastraea	0	0	0	0	0	6.25	0	0																						0.002386635	0.064439141	0.001193317	0	0	0.001193317	0
MER_Orbicella_annularis	0.256	0	0	0	0	1.024	0	0.512																												
FAV_Montastraea_cavernosa	0.2	0.188	0.025	0	0	0.325	0	0																												
MER_Orbicella_faveolata	0.228	0.046	0.091	0	0	0.547	0	0.319																												
MER_Orbicella_franksi	0.393	0.098	0	0	0	1.668	0	0.196																												
FAV_Moseleya																														0	0.020408163	0	0	0	0	0
FAV_Oulophyllia																														0	0.017094017	0	0	0	0	0
FAV_Platygyra																														0.012297735	0.051132686	0.009708738	0	0	0.001941748	0
FAV_Solenastrea	0	0	0	0	0	0	0	0																												
FAV_Solenastrea_bournoni	0.348	0.07	0.07	0	0	0.348	0	0																												
FAV_Solenastrea_hyades	0.617	0	0	0	0	0	0	0																												
FUN_Ctenactis																														0	0.046875	0	0	0	0	0
FUN_Cycloseris																														0	0	0	0	0	0	0
FUN_Cycloseris_vaughani									0	0.005780347	0	0.023121387	0	0	0	0	0	0	0	0	0	0.971098266	0	0	0	0	0	0	0							
FUN_Fungia									0	0.017834209	0	0.029509632	0	0	0	0.001167542	0	0	0	0.001167542	0	0.947402218	0	0.001167542	0	0	0.001751313	0	0	0.022982063	0.098654709	0.003923767	0	0	0.000560538	0.001121076
FUN_Halomitra																														0	0	0	0	0	0	0
FUN_Heliofungia																														0	0	0	0	0	0	0
FUN_Herpolitha_limax																														0	0.064516129	0	0	0	0	0
FUN_Lithophyllon																														0	0	0	0	0	0	0
FUN_Podabacia																														0	0.123076923	0	0	0	0	0
FUN_Polyphyllia																														0	0	0	0	0	0	0
MEA_Dendrogyra_cylindus	0	0	0	0	0	0	0	0																												
MEA_Dichocoenia	0.142	0.118	0.047	0	0	0.402	0	0																												
MEA_Eusmilia_fastigiata	0	0	0.281	0	0	0.141	0	0																												
MEA_Meandrina	0	0	0	0	0	0	0	0																												
MEA_Meandrina_meandrites	0.237	0	0.394	0	0	0.158	0	0																												
MER_Hydnopora																														0.031096563	0.070376432	0.004909984	0	0	0.026186579	0
MER_Merulina																														0.013114754	0.133333333	0.003278689	0	0	0.009836066	0
MUS_Acanthastrea																														0	0.091743119	0	0	0	0	0
MUS_Blastomussa																														0	0	0	0	0	0	0
MUS_Cynarina_lacrymalis																																				
MUS_Isophyllia	0	0	0	0	0	0	0	0																												
MUS_Isophyllia_sinuosa	0	0	0	0	0	0	0	0																												
MUS_Lobophyllia																														0.031543052	0.05541347	0.02685422	0.000426257	0.000426257	0.003836317	0
MUS_Micromussa																																				
MUS_Mussa_angulosa	0	0	0	0	0	0.847	0	0																												
MUS_Mycetophyllia	0	0	0	0	0	0	0	0																												
MUS_Mycetophyllia_aliciae	0	0	0	0	0	0	0	0																												
MUS_Mycetophyllia_danaana	0	0	0	0	0	0	0	0																												
MUS_Mycetophyllia_lamarckiana	0	0	0	0	0	0	0	0																												
MUS_Scolymia	0	0	1.053	0	0	0	0	0																						0	0.013761468	0	0	0	0	0
MUS_Scolymia_cubensis	0	0	0	0	0	0	0	0																												
MUS_Symphyllia																														0.003496503	0.024475524	0	0	0	0.003496503	0
OCU_Galaxea																														0.03649635	0.106502986	0.020238885	0.000331785	0	0.01592568	0
OCU_Oculina	0	0	0	0	0	0	0	0																												
OCU_Oculina_diffusa	0	0	0	0	0	0.885	0	0																												
PEC_Echinophyllia																														0.005535055	0.086715867	0.005535055	0	0	0	0
PEC_Mycedium																														0.012048193	0.040160643	0.006024096	0	0	0.002008032	0.004016064
PEC_Oxypora																														0.011220196	0.040673212	0.005610098	0.001402525	0.001402525	0.001402525	0
PEC_Pectinia																														0.038461538	0.097713098	0.032224532	0	0	0.006237006	0
POC_Pocillopora									0	0.01062387	0	0.208092224	0	0	0	0.050904159	0	0	0	0.00022604	0.000904159	0.417209162	0.000904159	0.030937312	0	0	0.280198915	0	0	0.037294016	0.185602775	0.004770165	0.003035559	0.000867303	0.028187337	0.000433651
POC_Pocillopora_damicornis									0	0.003835827	0	0.14269275	0	0	0	0.002685079	0	0	0	0	0.001917913	0.83429229	0	0.006520905	0	0	0.008055236	0	0							
POC_Pocillopora_eydouxi									0	0.001160093	0	0.01450116	0	0	0	0.000580046	0.000580046	0	0	0	0.000580046	0.978538283	0	0.001160093	0	0	0.002900232	0	0							
POC_Pocillopora_meandrina									0.000484986	0.010346361	0	0.009295558	0.001091218	0	4.04E-05	0.00088914	8.08E-05	0	4.04E-05	0.000202077	0.002627006	0.960392838	0.000242493	0.008366003	4.04E-05	4.04E-05	0.005577335	0.000242493	0							
POC_Seriatopora																														0.051219512	0.146341463	0.006097561	0.003658537	0.000609756	0.040853659	0
POC_Stylophora																														0.036871508	0.166480447	0.003351955	0.004469274	0	0.029050279	0.001117318
POR_Alveopora																														0.007490637	0.011235955	0.003745318	0	0	0.003745318	0
POR_Goniopora																														0.001471257	0.046839472	0.000909504	2.68E-05	0	0.000535003	0
POR_Porites									0.00032175	0.015654817	0	0.111425033	0	0	0	0.003539254	0	0	0	0.244354111	0.00032175	0.53667404	0.025862069	0.00862069	0	0	0.041643473	0.011583012	0	0.013955865	0.107654968	0.007983904	0.001916137	0.000415163	0.003385175	0.000127742
POR_Porites_annae									0	0.082644628	0	0.008264463	0	0	0	0	0	0	0	0.090909091	0.008264463	0.636363636	0.049586777	0.033057851	0	0.008264463	0.008264463	0.074380165	0							
POR_Porites_astreoides	0.173	0.006	0	0	0	0	0	0																												
POR_Porites_branneri	0	0	0	0	0	0	0	0																												
POR_Porites_compressa									0.00345903	0.029515169	0	0.006833003	0.000198469	8.51E-05	0	0.001502694	0.000113411	0	0	0.053246385	0.005330309	0.819875248	0.006407712	0.005528778	0	0.00031188	0.016359512	0.05120499	2.84E-05							
POR_Porites_divaricata	0.089	0	0	0	0	0	0	0																												
