host_genus,Unnamed: 0,sum_total,sum_dis,sum_healthy,sum_bbd,sum_wd,perc_healthy,perc_dis,perc_bbd,perc_wd,n_samples_tissue,faith_pd_tissue,observed_features_tissue,gini_index_tissue,dominance_tissue,simpson_e_tissue,most_abundant_domain_tissue,most_abundant_phylum_tissue,most_abundant_class_tissue,most_abundant_order_tissue,most_abundant_family_tissue,most_abundant_genus_tissue,n_samples_skeleton,faith_pd_skeleton,observed_features_skeleton,gini_index_skeleton,dominance_skeleton,simpson_e_skeleton,most_abundant_domain_skeleton,most_abundant_phylum_skeleton,most_abundant_class_skeleton,most_abundant_order_skeleton,most_abundant_family_skeleton,most_abundant_genus_skeleton,n_samples_mucus,faith_pd_mucus,observed_features_mucus,gini_index_mucus,dominance_mucus,simpson_e_mucus,most_abundant_domain_mucus,most_abundant_phylum_mucus,most_abundant_class_mucus,most_abundant_order_mucus,most_abundant_family_mucus,most_abundant_genus_mucus,n_samples_all,faith_pd_all,observed_features_all,gini_index_all,dominance_all,simpson_e_all,most_abundant_domain_all,most_abundant_phylum_all,most_abundant_class_all,most_abundant_order_all,most_abundant_family_all,most_abundant_genus_all
Barabattoia,8,8,0,8,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastomussa,9,1,0,1,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cataphyllia,10,13,0,13,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caulastraea,,,,,,,,,,,1,106.1904235,279,0.675512545,0.086118,0.041619979,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae;D_5__uncultured,1,116.63037,325,0.610578462,0.045088,0.068242616,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae;D_5__uncultured,1,37.85535393,60,0.879733333,0.353172,0.047191359,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae;D_5__uncultured,3,86.89204912,221.3333333,0.876617162,0.161459333,0.052351318,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae;D_5__uncultured
Caulastrea,11,159,3,145,0,1,91.19496855,1.886792453,0,0.628930818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirrhipathes,12,2,0,2,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladacora,13,23,0,23,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coeloseris,14,97,1,90,1,0,92.78350515,1.030927835,1.030927835,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colpophyllia,15,2383,44,2339,9,3,98.15358791,1.846412086,0.377675199,0.125891733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinaraea,16,6,0,6,0,0,100,0,0,0,3,73.4539744,163,0.912450936,0.215653333,0.039458254,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__;__,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__;__;__,3,88.50952225,241.6666667,0.872890956,0.074023333,0.097275171,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__;__,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__;__;__,3,60.38174115,126,0.875408663,0.068666,0.216810014,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas,9,74.11507927,176.8888889,0.957906146,0.119447556,0.117847813,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__;__,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__;__;__
