"","host_genus","sum_total","sum_dis","sum_healthy","sum_bbd","sum_wd","perc_healthy","perc_dis","perc_bbd","perc_wd"
"77","Polyphyllia",5,0,5,0,0,100,0,0,0
"78","Porites",213572,35275,174893,61,252,81.8894798943682,16.5166782162456,0.0285617964901766,0.117992995336467
"79","Protopalythoa",6,0,6,0,0,100,0,0,0
"80","Psammocora",1373,170,1176,1,1,85.6518572469046,12.3816460305899,0.0728332119446468,0.0728332119446468
"81","Pseudodiploria",2634,34,2600,4,5,98.7091875474563,1.29081245254366,0.151860288534548,0.189825360668185
"82","Sandolitha",59,0,46,0,0,77.9661016949153,0,0,0
"83","Sarcothelia",8,0,8,0,0,100,0,0,0
"84","Scolymia",417,1,413,0,0,99.0407673860911,0.239808153477218,0,0
"85","Seriatopora",1640,84,1314,6,10,80.1219512195122,5.1219512195122,0.365853658536585,0.609756097560976
"86","Siderastrea",52771,1962,50809,38,16,96.2820488525895,3.71795114741051,0.0720092475033636,0.030319683159311
"87","Sinularia",18,0,18,0,0,100,0,0,0
"88","Solenastrea",2059,40,2019,1,5,98.0573093734823,1.94269062651773,0.0485672656629432,0.242836328314716
"89","Sponge",1,0,1,0,0,100,0,0,0
"90","Stephanocoenia",20319,429,19890,1,21,97.8886756238004,2.11132437619962,0.00492150204242335,0.10335154289089
"91","Stylocoeniella",1,0,1,0,0,100,0,0,0
"92","Stylophora",895,33,710,4,3,79.3296089385475,3.68715083798883,0.446927374301676,0.335195530726257
"93","Symphyllia",286,1,278,0,0,97.2027972027972,0.34965034965035,0,0
"94","Trachyphyllia",35,0,35,0,0,100,0,0,0
"95","Tubastraea",220,2,215,0,1,97.7272727272727,0.909090909090909,0,0.454545454545455
"96","Turbinaria",641,12,527,0,2,82.2152886115445,1.87207488299532,0,0.31201248049922
"97","Unknown",56,0,56,0,0,100,0,0,0
"98","Zoanthus",13,0,13,0,0,100,0,0,0
"99","Zoanthus/Palythoa",1,0,1,0,0,100,0,0,0
