model_name	compartment	branch_length_transformation	AIC	AICc	estimated_parameter	parameter_value	R2	slope	intercept	x_trait_slope_95CI	x_trait_slope_stdev	p	x_trait	y_trait	best_model
BM	-	lambda=1 delta=1kappa=1	97.160037777921	97.960037777921	None	All parameters fixed	0.147093352870328	4.91204281836127	1.42434703445709	-0.883744626591966 - 10.7078302633145	2.95703441069043	0.116151499475312	dominance_all	perc_dis	FALSE
BM_Lambda	-	lambda=ML delta=1kappa=1	71.7888082551887	72.5888082551887	lambda	lambda : 1e-06 (95% CI  NA  -  0.694460120940752 )	0.0631908305389915	3.19592500420101	1.15944148998523	-2.83371237175952 - 9.22556238016153	3.07634559997986	0.314310543339202	dominance_all	perc_dis	TRUE
BM_Kappa	-	lambda=1 delta=1kappa=ML	80.3098649933973	81.1098649933973	kappa	kappa : 1e-06 (95% CI  NA  -  0.366075918050827 )	0.0384638455935315	2.5858839680025	2.21035835061718	-3.7493341453984 - 8.92110208140339	3.23225413949025	0.4354143440953	dominance_all	perc_dis	FALSE
BM_Delta	-	lambda=1 delta=MLkappa=1	97.160037777921	97.960037777921	delta	delta : 1 (95% CI  0.318784529640203  -  NA )	0.147093352870328	4.91204281836127	1.42434703445709	-0.883744626591966 - 10.7078302633145	2.95703441069043	0.116151499475312	dominance_all	perc_dis	FALSE
