model_name	compartment	branch_length_transformation	AIC	AICc	estimated_parameter	parameter_value	R2	slope	intercept	x_trait_slope_95CI	x_trait_slope_stdev	p	x_trait	y_trait	best_model
BM	-	lambda=1 delta=1kappa=1	100.015158176099	100.815158176099	None	All parameters fixed	0.000487259476449646	-0.447308828288507	2.7438954269189	-10.3742984939352 - 9.4796808373582	5.06479064573812	0.930720438175101	gini_index_all	perc_dis	FALSE
BM_Lambda	-	lambda=ML delta=1kappa=1	72.8843498177561	73.6843498177561	lambda	lambda : 1e-06 (95% CI  NA  -  0.648801249512514 )	0.00440253882491211	1.26664961269074	0.521089563461345	-8.06681462207596 - 10.6001138474574	4.76197154835036	0.793641991961257	gini_index_all	perc_dis	TRUE
BM_Kappa	-	lambda=1 delta=1kappa=ML	80.8663996153149	81.6663996153149	kappa	kappa : 1e-06 (95% CI  NA  -  0.319822682700798 )	0.00827013517604967	-1.73404905918242	4.37477133625958	-11.0386521499437 - 7.57055403157888	4.74724647487822	0.719690147978592	gini_index_all	perc_dis	FALSE
BM_Delta	-	lambda=1 delta=MLkappa=1	100.015158176099	100.815158176099	delta	delta : 1 (95% CI  0.322802360104525  -  NA )	0.000487259476449646	-0.447308828288507	2.7438954269189	-10.3742984939352 - 9.4796808373582	5.06479064573812	0.930720438175101	gini_index_all	perc_dis	FALSE
