Species	Unknown_disease_FRRP	Black_band_disease_FRRP	Dark_spots_FRRP	Red_band_FRRP	White_band_FRRP	White_plague_FRRP	White_spot_FRRP	Yellow_band_FRRP	Algal_infection_HICORDIS	Algal_overgrowth_HICORDIS	Black_band_disease_HICORDIS	Bleaching_HICORDIS	Ciliates_HICORDIS	Corallophila_huysmansii_HICORDIS	Cyanobacteria_HICORDIS	Discoloration_HICORDIS	Endolithic_fungal_infection_HICORDIS	Endolithic_hypermycosis_HICORDIS	Gear_entanglement_HICORDIS	Growth_anomalies_HICORDIS	Macroalgal_overgrowth_HICORDIS	No_Disease_HICORDIS	Pigmentation_response_HICORDIS	Predation_HICORDIS	Recently_denuded_skeleton_HICORDIS	Swollen_patches_HICORDIS	Tissue_loss_HICORDIS	Trematodiasis_HICORDIS	White_syndrome_HICORDIS	Total_diseased_Lamb_et_al	Total_compromised_or_bleached_Lamb_et_al	White_syndrome_Lamb_et_al	Black_band_disease_Lamb_et_al	Brown_band_Lamb_et_al	Skeletal_eroding_band_Lamb_et_al	Growth_anomalies_Lamb_et_al
AGA_Pavona_varians									0.000749484729249	0.005246393104741001	0.0	0.005995877833989	0.0	0.0	0.0	0.0003747423646240001	0.004496908375492	0.009930672662545	0.0	0.000749484729249	0.004496908375492	0.962338392355256	0.0	0.003934794828555	0.0	0.0	0.0013115982761849998	0.0003747423646240001	0.0							
AST_Madracis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
AST_Madracis_auretenra	0.0	0.0	0.0	0.0	0.0	0.398	0.0	0.0																												
AST_Madracis_decactis	0.0	0.168	0.168	0.0	0.0	0.0	0.0	0.0																												
AST_Madracis_formosa	5.556	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
AST_Stephanocoenia_intersepta	0.229	0.0	1.206	0.006999999999999999	0.0	0.14800000000000002	0.0	0.006999999999999999																												
AST_Stylocoeniella																														0.0	0.0	0.0	0.0	0.0	0.0	0.0
DEN_Tubastraea																														0.0091324200913242	0.0136986301369863	0.0045662100456621	0.0	0.0	0.0045662100456621	0.0
DEN_Turbinaria																														0.0187207488299532	0.15912636505460218	0.0031201248049922	0.0	0.0	0.0015600624024961	0.0015600624024961
EUP_Euphyllia																														0.0	0.0	0.0	0.0	0.0	0.0	0.0
EUP_Physogyra																														0.0	0.0	0.0	0.0	0.0	0.0	0.0
EUP_Plerogyra																														0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0
FAV_Barabattoia																														0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAV_Colpophyllia_natans	0.156	0.469	0.052000000000000005	0.0	0.0	0.156	0.0	0.052000000000000005																												
FAV_Cyphastrea									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010810810810810811	0.05297297297297297	0.0075675675675675675	0.001081081081081081	0.0	0.002162162162162162	0.0
FAV_Cyphastrea_ocellina									0.0	0.012674271229403998	0.0	0.299112801013942	0.0	0.0	0.0	0.02788339670469	0.0	0.0	0.0	0.0	0.0012674271229400002	0.6577946768060839	0.0012674271229400002	0.0	0.0	0.0	0.0	0.0	0.0							
FAV_Diploastrea_heliopora																														0.007042253521126761	0.02464788732394366	0.007042253521126761	0.0	0.0	0.0	0.0
FAV_Diploria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
FAV_Diploria_clivosa	0.391	0.0	0.0	0.0	0.0	0.26	0.0	0.0																												
FAV_Diploria_labyrinthiformis	0.442	0.147	0.147	0.0	0.0	0.147	0.0	0.0																												
FAV_Diploria_strigosa	0.15	0.301	0.0	0.0	0.0	0.15	0.0	0.0																												
FAV_Echinopora																														0.018768046198267566	0.062078922040423486	0.004812319538017324	0.003368623676612127	0.00048123195380173246	0.01010587102983638	0.0
FAV_Favia																														0.004838109415705247	0.06103461109043543	0.0026051358392259025	0.0003721622627465575	0.0003721622627465575	0.0	0.0003721622627465575
FAV_Favia_fragum	0.752	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
FAV_Favites																														0.005855290673358427	0.06148055207026349	0.0037641154328732747	0.0004182350480970305	0.0	0.0004182350480970305	0.0012547051442910915
FAV_Goniastrea																														0.002880184331797235	0.052995391705069124	0.001152073732718894	0.0	0.0	0.000576036866359447	0.0
FAV_Leptastrea									0.0	0.0	0.0	0.022653721682848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024271844660195005	0.9749190938511326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006535947712418301	0.05065359477124183	0.0	0.0016339869281045752	0.0	0.004901960784313725	0.0
FAV_Leptastrea_pruinosa									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0							
FAV_Leptastrea_purpurea									0.0	0.023972602739726	0.0	0.08732876712328799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001712328767123	0.003424657534247	0.8801369863013699	0.003424657534247	0.0	0.0	0.0	0.0	0.0	0.0							
