model_name	compartment	branch_length_transformation	AIC	AICc	estimated_parameter	parameter_value	R2	slope	intercept	x_trait_slope_95CI	x_trait_slope_stdev	p	x_trait	y_trait	best_model
BM	-	lambda=1 delta=1kappa=1	100.5545683189	101.411711176042	None	All parameters fixed	0.17495312309741	20.7504454758585	3.44851482452515	-2.05383264970865 - 43.5547236014256	11.6348357783506	0.0947502114944954	growth_rate_mm_per_year	perc_dis	FALSE
BM_Lambda	-	lambda=ML delta=1kappa=1	98.5629954973293	99.4201383544722	lambda	lambda : 0.962403487747834 (95% CI  NA  -  NA )	0.120719592136008	17.1409118540171	3.83600567373091	-6.27004593131153 - 40.5518696393457	11.9443662170044	0.171791572701497	growth_rate_mm_per_year	perc_dis	TRUE
BM_Kappa	-	lambda=1 delta=1kappa=ML	100.216240543735	101.073383400878	kappa	kappa : 0.845841023407306 (95% CI  0.272155908546565  -  NA )	0.146009991496996	19.3656252267754	3.74231010764898	-4.33594242192788 - 43.0671928754788	12.0926365554609	0.130125143397093	growth_rate_mm_per_year	perc_dis	FALSE
BM_Delta	-	lambda=1 delta=MLkappa=1	100.5545683189	101.411711176042	delta	delta : 1 (95% CI  0.206877418293339  -  NA )	0.17495312309741	20.7504454758585	3.44851482452515	-2.05383264970865 - 43.5547236014256	11.6348357783506	0.0947502114944954	growth_rate_mm_per_year	perc_dis	FALSE
