Species,Algal_Infection,Algal_overgrowth,Black_band_disease,Bleaching,Ciliates,Corallophila_huysmansii,Cyanobacteria,Discoloration,Endolithic_fungal_infection,Endolithic_hypermycosis,Gear_entanglement,Growth_anomalies,Macroalgal_overgrowth,No_Disease,Pigmentation_response,Predation,Recently_denuded_skeleton,Swollen_patches,Tissue_Loss,Trematodiasis,White_Syndrome
Pocillopora_eydouxi,0,0.001160092807425,0,0.014501160092808,0,0,0,0.000580046403712,0.000580046403712,0,0,0,0.000580046403712,0.978538283062645,0,0.001160092807425,0,0,0.002900232018561,0,0
Pocillopora_ligulata,0,0.04249547920434,0,0.232368896925859,0,0,0,0.003616636528029,0,0,0,0.000904159132007,0.003616636528029,0.602169981916817,0.003616636528029,0.090415913200723,0,0,0.020795660036166,0,0
Pocillopora_meandrina,0.000484985652508,0.010346360586833,0,0.009295558339732,0.001091217718143,0,4.0415471042315E-05,0.000889140362931,8.083094208463E-05,0,4.0415471042315E-05,0.000202077355212,0.00262700561775,0.960392838378531,0.000242492826254,0.008366002505759,4.0415471042315E-05,4.0415471042315E-05,0.005577335003839,0.000242492826254,0
Pocillopora_molokensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.966666666666667,0,0.033333333333333,0,0,0,0,0
Pocillopora_sp.,0,0,0,0.6,0,0,0,0.2,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0
Porites_annae,0,0.082644628099174,0,0.008264462809917,0,0,0,0,0,0,0,0.090909090909091,0.008264462809917,0.636363636363636,0.049586776859504,0.03305785123967,0,0.008264462809917,0.008264462809917,0.074380165289256,0
Porites_bernardi,0,0,0,0.155963302752294,0,0,0,0,0,0,0,0.009174311926606,0,0.81651376146789,0,0,0,0,0.018348623853211,0,0
Porites_brighami,0.001287001287001,0.005148005148005,0,0.037323037323037,0,0,0,0.014157014157014,0,0,0,0.122265122265122,0.001287001287001,0.755469755469755,0,0,0,0,0.016731016731017,0.046332046332046,0
Porites_compressa,0.003459030337397,0.029515168698611,0,0.006833002551744,0.000198468953785,8.50581230507514E-05,0,0.00150269350723,0.000113410830734,0,0,0.05324638502977,0.005330309044514,0.819875248086192,0.00640771193649,0.005528777998299,0,0.000311879784519,0.016359512333428,0.051204990076552,2.83527076835838E-05
Porites_duerdeni,0,0.06989247311828,0,0.146505376344086,0,0,0,0.020161290322581,0,0,0,0.005376344086022,0,0.698924731182796,0.024193548387097,0.014784946236559,0,0,0.014784946236559,0.005376344086022,0
Porites_evermanni,0.011732229123534,0.051069703243616,0,0.011387163561077,0,0.002760524499655,0,0.008626639061422,0.000345065562457,0,0,0.038302277432712,0.008971704623879,0.768461007591442,0.020358868184955,0.014147688060732,0,0.000345065562457,0.021048999309869,0.042443064182195,0
Porites_lichen,0,0.034120734908137,0,0.047244094488189,0,0,0,0.006999125109361,0,0,0,0.006561679790026,0.00174978127734,0.78915135608049,0.028871391076116,0.010498687664042,0,0,0.038057742782152,0.036745406824147,0
