Species,Huang_Roy_tree_name,Specificity
Pocillopora_meandrina,POC_Pocillopora_meandrina,Species
Pocillopora_molokensis,POC_Pocillopora,Genus
Pocillopora_sp.,POC_Pocillopora,Genus
Podabacia,FUN_Podabacia,Genus
Polyphyllia,FUN_Polyphyllia,Genus
Porites,POR_Porites,Genus
Porites astreoides,POR_Porites_astreoides,Species
Porites cf. branneri,POR_Porites_branneri,Species
Porites divaricata,POR_Porites_divaricata,Species
Porites furcata,POR_Porites_furcata,Species
Porites porites,POR_Porites_porites,Species
Porites sp.,POR_Porites_porites,Species
Porites_annae,POR_Porites_annae,Species
Porites_bernardi,POR_Porites,Genus
Porites_brighami,POR_Porites,Genus
Porites_compressa,POR_Porites_compressa,Species
Porites_duerdeni,POR_Porites_duerdeni,Species
Porites_evermanni,POR_Porites_evermanni,Species
Porites_lichen,POR_Porites_lichen,Species
Porites_lobata,POR_Porites_lobata,Species
Porites_lutea,POR_Porites_lutea,Species
Porites_monticulosa,POR_Porites,Genus
Porites_rus,POR_Porites_rus,Species
Porites_solida,POR_Porites_solida,Species
Porites_sp.,POR_Porites,Genus
Psammocora,SID_Psammocora,Genus
Psammocora_digitata,SID_Psammocora_digitata,Species
Psammocora_haimeana,SID_Psammocora_haimeana,Species
Psammocora_nierstraszi,SID_Psammocora_nierstraszi,Species
Psammocora_stellata,SID_Psammocora,Species
Pseudodiploria clivosa,FAV_Diploria_clivosa,Species
Pseudodiploria sp.,FAV_Diploria,Genus
Pseudodiploria strigosa,FAV_Diploria_strigosa,Species
Sandolitha,,
Sarcothelia_edmondsoni,,
Scolymia,MUS_Scolymia,Genus
Scolymia cubensis,MUS_Scolymia_cubensis,Species
Scolymia lacera,MUS_Scolymia,Genus
Scolymia sp.,MUS_Scolymia,Genus
Seriatopora,POC_Seriatopora,Genus
Siderastrea radians,SID_Siderastrea_radians,Species
Siderastrea siderea,SID_Siderastrea_siderea,Species
Siderastrea sp.,SID_Siderastrea,Genus
Sinularia_densa,,
Solenastrea bournoni,FAV_Solenastrea_bournoni,Species
Solenastrea hyades,FAV_Solenastrea_hyades,Species
Solenastrea sp.,FAV_Solenastrea,Genus
Sponge,,
Stephanocoenia intersepta,AST_Stephanocoenia_intersepta,Species
Stylocoeniella,AST_Stylocoeniella,Genus
Stylophora,POC_Stylophora,Genus
Symphyllia,MUS_Symphyllia,Genus
Trachyphyllia,TRC_Trachyphyllia,Genus
Tubastrea,DEN_Tubastraea,Genus
Turbinaria,DEN_Turbinaria,Genus
Undaria agaricites,AGA_Agaricia_agaricites,Species
Undaria humilis,AGA_Agaricia_humilis,Species
Undaria sp.,AGA_Agaricia,Genus
Undaria tenuifolia,AGA_Agaricia_tenuifolia,Species
Zoanthus/Palythoa_sp.,,
