model_name	compartment	branch_length_transformation	AIC	AICc	estimated_parameter	parameter_value	R2	slope	intercept	x_trait_slope_95CI	x_trait_slope_stdev	p	x_trait	y_trait	best_model
BM	-	lambda=1 delta=1kappa=1	478.69079682447	479.015121148794	None	All parameters fixed	0.0374260150725942	0.421645286897587	152.615648530333	-0.258249622019796 - 1.10154019581497	0.34688515761091	0.231666419096143	skeleton_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus	observed_features_all	FALSE
BM_Lambda	-	lambda=ML delta=1kappa=1	454.348027835792	454.672352160116	lambda	lambda : 1e-06 (95% CI  NA  -  0.676491184932279 )	0.137407740581089	1.01281798616802	136.808666933715	0.205967885926448 - 1.8196680864096	0.411658214408968	0.0185399535845279	skeleton_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus	observed_features_all	TRUE
BM_Kappa	-	lambda=1 delta=1kappa=ML	466.64245633407	466.966780658394	kappa	kappa : 0.237124102013357 (95% CI  NA  -  0.670823746969138 )	0.0628090989655252	0.672872839066621	139.108720104027	-0.153545643107065 - 1.49929132124031	0.421642082741677	0.118808978295012	skeleton_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus	observed_features_all	FALSE
BM_Delta	-	lambda=1 delta=MLkappa=1	478.69079682447	479.015121148794	delta	delta : 1 (95% CI  0.408066153151184  -  NA )	0.0374260150725942	0.421645286897587	152.615648530333	-0.258249622019796 - 1.10154019581497	0.34688515761091	0.231666419096143	skeleton_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus	observed_features_all	FALSE
