Species,Algal_infection_HICORDIS,Algal_overgrowth_HICORDIS,Black_band_disease_HICORDIS,Bleaching_HICORDIS,Ciliates_HICORDIS,Corallophila_huysmansii_HICORDIS,Cyanobacteria_HICORDIS,Discoloration_HICORDIS,Endolithic_fungal_infection_HICORDIS,Endolithic_hypermycosis_HICORDIS,Gear_entanglement_HICORDIS,Growth_anomalies_HICORDIS,Macroalgal_overgrowth_HICORDIS,No_Disease_HICORDIS,Pigmentation_response_HICORDIS,Predation_HICORDIS,Recently_denuded_skeleton_HICORDIS,Swollen_patches_HICORDIS,Tissue_loss_HICORDIS,Trematodiasis_HICORDIS,White_syndrome_HICORDIS
Montipora_incrassata,0.0,0.005617977528089999,0.0,0.12921348314606698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859550561797753,0.0,0.005617977528089999,0.0,0.0,0.0,0.0,0.0
Montipora_patula,0.000327677856259,0.000546129760431,0.001128668171558,0.034697444112721,0.0,0.0,0.0,0.005461297604311,0.000182043253477,0.0,0.0,0.0026214228500689996,0.0008009903152989999,0.946078788320105,0.000546129760431,0.0018204325347699999,0.0,0.0,0.003313187213282,0.0,0.002475788247288
Montipora_sp.,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montipora_studeri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montipora_tuberculosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montipora_verrilli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palythoa_caesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palythoa_sp.,0.0,0.0,0.0,0.045454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507575757575759,0.0,0.0,0.0,0.0,0.0037878787878790005,0.0,0.0
Pavona_chiriquiensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pavona_clavus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pavona_duerdeni,0.0014760147601479996,0.026568265682657,0.0,0.007380073800738001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002214022140221,0.017712177121771,0.91660516605166,0.0014760147601479996,0.019188191881918996,0.0007380073800739998,0.0,0.00590405904059,0.0007380073800739998,0.0
Pavona_maldivensis,0.0,0.005063291139241,0.0,0.151898734177215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.843037974683544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pavona_sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pavona_varians,0.000749484729249,0.005246393104741001,0.0,0.005995877833989,0.0,0.0,0.0,0.00037474236462400006,0.004496908375492,0.009930672662545,0.0,0.000749484729249,0.004496908375492,0.962338392355256,0.0,0.003934794828555,0.0,0.0,0.0013115982761849998,0.00037474236462400006,0.0
