Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Model,pVal,R_Squared
perc_wd,skeleton_unweighted_unifrac_ordination_PC2,581844,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.825388628,0.001231369
perc_wd,skeleton_weighted_unifrac_ordination_PC2,581844,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.595787872,0.007098007
perc_dis,all_weighted_unifrac_ordination_PC3,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.193644893,0.039892716
perc_dis,all_unweighted_unifrac_ordination_PC3,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.013841935,0.135797844
perc_wd,all_unweighted_unifrac_ordination_PC3,581844,all,lm(y_trait_positive ~ x_trait_positive -1),2.74E-06,0.41114948
perc_wd,all_weighted_unifrac_ordination_PC3,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.003276339,0.188035221
perc_bbd,all_weighted_unifrac_ordination_PC3,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.786818204,0.001760734
perc_bbd,all_unweighted_unifrac_ordination_PC3,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.552564804,0.008463113
perc_dis,mucus_unweighted_unifrac_ordination_PC3,581844,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.030807729,0.116916612
perc_dis,mucus_weighted_unifrac_ordination_PC3,581844,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.014475778,0.147346709
perc_bbd,mucus_weighted_unifrac_ordination_PC3,581844,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.702853252,0.003872672
perc_bbd,mucus_unweighted_unifrac_ordination_PC3,581844,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.909519686,0.000344311
perc_wd,mucus_unweighted_unifrac_ordination_PC3,581844,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.104050702,0.068026053
perc_wd,mucus_weighted_unifrac_ordination_PC3,581844,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.05300523,0.094993823
perc_dis,tissue_weighted_unifrac_ordination_PC3,581844,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.256754943,0.033712159
perc_dis,tissue_unweighted_unifrac_ordination_PC3,581844,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.043318912,0.103139417
perc_bbd,tissue_unweighted_unifrac_ordination_PC3,581844,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.858018146,0.000853008
perc_bbd,tissue_weighted_unifrac_ordination_PC3,581844,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.801902012,0.001676945
perc_wd,tissue_weighted_unifrac_ordination_PC3,581844,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.373351177,0.020908752
perc_wd,tissue_unweighted_unifrac_ordination_PC3,581844,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.150342006,0.053665441
perc_dis,skeleton_unweighted_unifrac_ordination_PC3,581844,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.931434345,0.000187384
perc_dis,skeleton_weighted_unifrac_ordination_PC3,581844,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.927966006,0.000206871
perc_bbd,skeleton_weighted_unifrac_ordination_PC3,581844,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.910182052,0.000322096
perc_bbd,skeleton_unweighted_unifrac_ordination_PC3,581844,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.4044431,0.017441242
perc_wd,skeleton_unweighted_unifrac_ordination_PC3,581844,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.184431731,0.043610907
perc_wd,skeleton_weighted_unifrac_ordination_PC3,581844,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.354233806,0.021490874
