Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
perc_wd,all_unweighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.176785982,0.043005103,0.02021951,3.879071893,0.0155101307181355 + 1.98411770550224 - -1.93588229449776,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.855972933889946,-50.93409536,-50.64141243,,
perc_wd,all_unweighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.954951873,7.69E-05,-0.023730809,3.918541911,0.00682860127763497 + 2.07869271536431 - -1.84130728463569,"lambda=l,delta=ML,kappa=1",3 -/+ 2.01560566844134,-23.26225186,-22.96956893,,
perc_wd,all_unweighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.949756669,9.57E-05,-0.023711582,3.918358523,3.919620961,"lambda=1,delta=1,kappa=ML",0.0190756072413516 -/+ 0.373312417600449,-50.72150468,-50.42882176,Model_3l_AIC,Model_3l_AICc
perc_wd,all_weighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.799597145,0.001551673,-0.022220906,3.902245087,0.00470703177513191 + 2.75336653596438 - -1.16663346403562,"lambda=1,delta=1,kappa=1",NA,74.11883077,74.4115137,,
perc_wd,all_weighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.304096481,0.025125698,0.001914405,3.837213324,0.0444635389172825 + 2.02441621436955 - -1.89558378563045,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.323523311119456,35.51878882,35.81147175,,
perc_wd,all_weighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.787378305,0.001751275,-0.022016552,3.900985614,0.00391763615242623 + 2.28404146405748 - -1.63595853594252,"lambda=l,delta=ML,kappa=1",3 -/+ 2.03172264255639,65.11910085,65.41178378,,
perc_wd,all_weighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.969006585,3.64E-05,-0.023772284,3.916999545,3.895936772,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.389356923257879,44.5619562,44.85463913,Model_3l_AIC,Model_3l_AICc
perc_dis,mucus_weighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.886255421,0.000545445,-0.025755991,3.91761157,0.0178590804575136 + 2.76075735310722 - -1.15924264689278,"lambda=1,delta=1,kappa=1",NA,72.26841701,72.59274133,,
perc_dis,mucus_weighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.539592919,0.009983356,-0.016069714,3.914229674,3.908721964,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.545257690198167,9.142885967,9.467210291,,
perc_dis,mucus_weighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.8801574,0.000605935,-0.025693908,3.917562399,0.015469356144073 + 2.28801007456538 - -1.63198992543462,"lambda=l,delta=ML,kappa=1",3 -/+ 2.11424321748798,62.44895208,62.7732764,,
perc_dis,mucus_weighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.821302984,0.001359405,-0.02492061,0.00179620603113638 + 1.96789758779 - -1.95210241221,0.00962058560199868 + 2.13561661807834 - -1.78438338192166,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.150041955416667,14.82303774,15.14736207,Model_3l_AIC,Model_3l_AICc
perc_dis,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.549542636,0.009503924,-0.016561762,3.915508475,0.0376553573953849 + 2.31912945987658 - -1.60087054012342,"lambda=1,delta=1,kappa=1",NA,8.118414185,8.44273851,,
perc_dis,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.286246042,0.029866372,0.00433654,3.915062644,0.00412947639273314 + 1.98517893289968 - -1.93482106710032,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.787648389664349,-47.97308432,-47.64876,,
perc_dis,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.541610065,0.009884864,-0.016170798,3.915552315,0.0324850692634431 + 2.10748937314462 - -1.81251062685538,"lambda=l,delta=ML,kappa=1",3 -/+ 2.09334797835787,-1.494103628,-1.169779303,,
perc_dis,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.468008984,0.013945,-0.012003815,3.917208477,0.0472551760611824 + 2.04467631155521 - -1.87532368844479,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.21000113609624,-43.53435625,-43.21003192,Model_3l_AIC,Model_3l_AICc
perc_bbd,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.864652352,0.000774428,-0.025520982,0.0399698909052602 + 2.19290698524514 - -1.72709301475486,0.0170270743753848 + 2.32053062566251 - -1.59946937433749,"lambda=1,delta=1,kappa=1",NA,8.469400054,8.793724379,,
perc_bbd,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.515197649,0.01122857,-0.01479173,3.85847623,3.914376131,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.762425343007381,-47.21190953,-46.8875852,,
perc_bbd,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.917160103,0.000288424,-0.026019775,0.0223677106992033 + 2.17362467984026 - -1.74637532015974,0.0131266889975254 + 2.10798513871054 - -1.81201486128946,"lambda=l,delta=ML,kappa=1",3 -/+ 2.08998224481049,-1.108280519,-0.783956195,,
perc_bbd,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.82611406,0.001286066,-0.02499588,0.0187856731461747 + 2.04492272010831 - -1.87507727989169,0.0355509222455876 + 2.04417284206859 - -1.87582715793141,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.208722222399889,-43.02410617,-42.69978185,Model_3l_AIC,Model_3l_AICc
perc_bbd,mucus_weighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.962761197,5.81E-05,-0.026256137,3.895694226,0.011735834384084 + 2.76055749443794 - -1.15944250556206,"lambda=1,delta=1,kappa=1",NA,72.28791578,72.61224011,,
