model_name	compartment	branch_length_transformation	AIC	AICc	estimated_parameter	parameter_value	R2	slope	intercept	x_trait_slope_95CI	x_trait_slope_stdev	p	x_trait	y_trait	best_model
BM	-	lambda=1 delta=1kappa=1	175.199487884714	175.721227015149	None	All parameters fixed	0.0255582284690656	-0.338552712867028	14.3639723495361	-1.17490513888659 - 0.497799713152535	0.426710421438552	0.43531822880531	temperature	perc_dis	FALSE
BM_Lambda	-	lambda=ML delta=1kappa=1	162.763116679442	163.284855809876	lambda	lambda : 1e-06 (95% CI  NA  -  0.450066029503204 )	0.0114942882249417	-0.333245932288563	12.7743137071244	-1.56965977148007 - 0.903167906902947	0.630823387342607	0.60216216162064	temperature	perc_dis	TRUE
BM_Kappa	-	lambda=1 delta=1kappa=ML	170.039583488404	170.561322618838	kappa	kappa : 0.202440868489002 (95% CI  NA  -  0.884407013485603 )	0.090885683455081	-0.957897213611071	31.378695203315	-2.1699760555359 - 0.254181628313757	0.618407572410626	0.134475035865792	temperature	perc_dis	FALSE
BM_Delta	-	lambda=1 delta=MLkappa=1	175.199487884714	175.721227015149	delta	delta : 1 (95% CI  0.323051748203119  -  NA )	0.0255582284690656	-0.338552712867028	14.3639723495361	-1.17490513888659 - 0.497799713152535	0.426710421438552	0.43531822880531	temperature	perc_dis	FALSE
