Species	Algal_Infection	Algal_overgrowth	Black_band_disease	Bleaching	Ciliates	Corallophila_huysmansii	Cyanobacteria	Discoloration	Endolithic_fungal_infection	Endolithic_hypermycosis	Gear_entanglement	Growth_anomalies	Macroalgal_overgrowth	No_Disease	Pigmentation_response	Predation	Recently_denuded_skeleton	Swollen_patches	Tissue_Loss	Trematodiasis	White_Syndrome
Acropora_cytherea	0.0	28.0	0.0	61.0	0.0	0.0	3.0	6.0	0.0	0.0	0.0	24.0	2.0	1563.0	3.0	3.0	2.0	0.0	41.0	0.0	6.0
Acropora_humilis	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acropora_nasuta	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acropora_paniculata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
Acropora_valida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cirrhipathes_anguina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cycloseris_vaughani	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyphastrea_agassizi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyphastrea_ocellina	0.0	20.0	0.0	472.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	2.0	1038.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Fungia_granulosa	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fungia_scutaria	0.0	2.0	0.0	22.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	538.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0
Fungia_sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gardineroseris_planulata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptastrea_bewickensis	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	587.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptastrea_pruinosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptastrea_purpurea	0.0	14.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	514.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptastrea_sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptastrea_transversa	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptoseris_incrustans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptoseris_mycetoseroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptoseris_papyracea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptoseris_tubulifera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Montipora_capitata	13.0	221.0	214.0	2936.0	1.0	0.0	15.0	118.0	0.0	0.0	0.0	153.0	34.0	50119.0	9.0	68.0	0.0	0.0	773.0	0.0	429.0
Montipora_dilitata	0.0	0.0	0.0	208.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0
