Species	Algal_Infection	Algal_overgrowth	Black_band_disease	Bleaching	Ciliates	Corallophila_huysmansii	Cyanobacteria	Discoloration	Endolithic_fungal_infection	Endolithic_hypermycosis	Gear_entanglement	Growth_anomalies	Macroalgal_overgrowth	No_Disease	Pigmentation_response	Predation	Recently_denuded_skeleton	Swollen_patches	Tissue_Loss	Trematodiasis	White_Syndrome
Montipora_patula	0.00032767785625864706	0.0005461297604310785	0.001128668171557562	0.03469744411272118	0.0	0.0	0.0	0.005461297604310784	0.00018204325347702613	0.0	0.0	0.0026214228500691765	0.000800990315298915	0.9460787883201048	0.0005461297604310785	0.0018204325347702614	0.0	0.0	0.0033131872132818757	0.0	0.0024757882472875555
Montipora_sp.	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Montipora_studeri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Montipora_tuberculosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Montipora_verrilli	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Palythoa_caesia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Palythoa_sp.	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9507575757575758	0.0	0.0	0.0	0.0	0.003787878787878788	0.0	0.0
Pavona_chiriquiensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pavona_clavus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pavona_duerdeni	0.0014760147601476014	0.026568265682656828	0.0	0.007380073800738007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002214022140221402	0.017712177121771217	0.9166051660516605	0.0014760147601476014	0.01918819188191882	0.0007380073800738007	0.0	0.005904059040590406	0.0007380073800738007	0.0
Pavona_maldivensis	0.0	0.005063291139240506	0.0	0.1518987341772152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8430379746835444	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pavona_sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pavona_varians	0.0007494847292486415	0.005246393104740491	0.0	0.005995877833989132	0.0	0.0	0.0	0.00037474236462432077	0.004496908375491849	0.0099306726625445	0.0	0.0007494847292486415	0.004496908375491849	0.9623383923552558	0.0	0.0039347948285553686	0.0	0.0	0.0013115982761851227	0.00037474236462432077	0.0
Pocillopora_capitata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Pocillopora_damicornis	0.0	0.0038358266206367474	0.0	0.142692750287687	0.0	0.0	0.0	0.002685078634445723	0.0	0.0	0.0	0.0	0.0019179133103183737	0.8342922899884925	0.0	0.00652090525508247	0.0	0.0	0.00805523590333717	0.0	0.0
Pocillopora_eydouxi	0.0	0.001160092807424594	0.0	0.014501160092807424	0.0	0.0	0.0	0.000580046403712297	0.000580046403712297	0.0	0.0	0.0	0.000580046403712297	0.978538283062645	0.0	0.001160092807424594	0.0	0.0	0.002900232018561485	0.0	0.0
Pocillopora_ligulata	0.0	0.042495479204339964	0.0	0.23236889692585896	0.0	0.0	0.0	0.003616636528028933	0.0	0.0	0.0	0.0009041591320072332	0.003616636528028933	0.6021699819168174	0.003616636528028933	0.09041591320072333	0.0	0.0	0.020795660036166366	0.0	0.0
Pocillopora_meandrina	0.00048498565250777996	0.01034636058683264	0.0	0.00929555833973245	0.001091217718142505	0.0	4.0415471042315e-05	0.00088914036293093	8.083094208463e-05	0.0	4.0415471042315e-05	0.000202077355211575	0.002627005617750475	0.9603928383785313	0.00024249282625388998	0.008366002505759204	4.0415471042315e-05	4.0415471042315e-05	0.00557733500383947	0.00024249282625388998	0.0
Pocillopora_molokensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9666666666666667	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0
Pocillopora_sp.	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0
