model_name	compartment	branch_length_transformation	AIC	AICc	estimated_parameter	parameter_value	R2	slope	intercept	x_trait_slope_95CI	x_trait_slope_stdev	p	x_trait	y_trait	best_model
BM	-	lambda=1 delta=1kappa=1	95.7277856740816	96.5277856740816	None	All parameters fixed	0.212328960972315	-0.0153015624746249	4.79659062581786	-0.0297426427247977 - -0.000860482224452055	0.00736789808682286	0.0542904894135763	observed_features_all	perc_dis	FALSE
BM_Lambda	-	lambda=ML delta=1kappa=1	70.4699940929977	71.2699940929977	lambda	lambda : 0.0992500723188199 (95% CI  NA  -  0.758283078678317 )	0.153541279436702	-0.00842884846427263	3.24077491535345	-0.0181262335144016 - 0.00126853658585636	0.00494764543373928	0.107795247438807	observed_features_all	perc_dis	TRUE
BM_Kappa	-	lambda=1 delta=1kappa=ML	78.1833694974478	78.9833694974478	kappa	kappa : 1e-06 (95% CI  NA  -  0.355080915661231 )	0.145605075514876	-0.0105394981844575	4.24411128381499	-0.0230494917503525 - 0.00197049538143743	0.00638264977851783	0.118170539602003	observed_features_all	perc_dis	FALSE
BM_Delta	-	lambda=1 delta=MLkappa=1	95.7277856740816	96.5277856740816	delta	delta : 1 (95% CI  0.318423764418084  -  NA )	0.212328960972315	-0.0153015624746249	4.79659062581786	-0.0297426427247977 - -0.000860482224452055	0.00736789808682286	0.0542904894135763	observed_features_all	perc_dis	FALSE
