Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
perc_bbd,dominance_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.657264543,0.0047321,-0.018964755,3.848616951,0.178284320994774 + 2.07269596371443 - -1.84730403628557,"lambda=l,delta=ML,kappa=1",3 -/+ 2.06142365227898,-28.95212302,-28.65944009,,
perc_bbd,dominance_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.719715976,0.003097729,-0.02063804,3.889743458,0.206850444033796 + 2.04332347412031 - -1.87667652587969,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.319320627779407,-48.3248764,-48.03219347,Model_3l_AIC,Model_3l_AICc
perc_wd,dominance_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",6.87E-05,0.31728297,0.301027802,0.0876059496992948 + 1.97982923428244 - -1.94017076571756,0.149398384166594 + 2.18637227617636 - -1.73362772382364,"lambda=1,delta=1,kappa=1",NA,-36.24236043,-35.9496775,,
perc_wd,dominance_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.026451078,0.11191071,0.090765727,0.0530954903364557 + 1.98307945143012 - -1.93692054856988,0.139363653348985 + 1.97868399055223 - -1.94131600944777,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.336492677943081,-73.39866513,-73.1059822,,
perc_wd,dominance_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.000109688,0.302587325,0.285982261,0.0859454534214539 + 1.98013343207384 - -1.93986656792616,0.143017605364458 + 2.0531362042429 - -1.8668637957571,"lambda=l,delta=ML,kappa=1",3 -/+ 1.95243564970682,-44.60004711,-44.30736419,,
perc_wd,dominance_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.034503377,0.102086362,0.080707466,0.0543970178453576 + 1.98489337984748 - -1.93510662015252,0.190859558527428 + 2.0477033827075 - -1.8722966172925,"lambda=1,delta=1,kappa=ML",0.114388266902766 -/+ 0.533229833477476,-52.21040501,-51.91772208,Model_3l_AIC,Model_3l_AICc
perc_dis,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.751031265,0.002422578,-0.021329266,0.00118527597001038 + 1.96371132744528 - -1.95628867255472,0.947437706468622 + 2.14891899848325 - -1.77108100151675,"lambda=1,delta=1,kappa=1",NA,-52.35178105,-52.05909813,,
perc_dis,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.274063574,0.028412012,0.005278965,0.00336436160762933 + 1.96303576462029 - -1.95696423537971,0.929807800167661 + 1.9874241573971 - -1.9325758426029,"lambda=ML,delta=1,kappa=1",0.156648244486875 -/+ 0.681315444248301,-84.54816739,-84.25548446,,
perc_dis,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.722752036,0.003028215,-0.020709209,0.00129990576546819 + 1.96363944625616 - -1.95636055374384,0.948758050592553 + 2.03792382793296 - -1.88207617206704,"lambda=l,delta=ML,kappa=1",3 -/+ 2.03787903698842,-61.39433936,-61.10165643,,
perc_dis,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.743986928,0.002566468,-0.02118195,0.000895219570999857 + 1.96272319672564 - -1.95727680327436,0.956678063917654 + 2.022037526888 - -1.897962473112,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.225715777728827,-75.30109897,-75.00841604,Model_3l_AIC,Model_3l_AICc
perc_bbd,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.417010126,0.015746219,-0.007688395,3.822910026,0.962071524807217 + 2.14761236766813 - -1.77238763233187,"lambda=1,delta=1,kappa=1",NA,-52.94340465,-52.65072172,,
perc_bbd,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.541951335,0.008921527,-0.01467558,0.0404950093543666 + 2.02585841763481 - -1.89414158236519,0.935974603954053 + 1.98575550585408 - -1.93424449414592,"lambda=ML,delta=1,kappa=1",0.138215637491747 -/+ 0.686906263684112,-83.65234486,-83.35966194,,
