host_genus	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__	D_0__Bacteria;__;__;__	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae	D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales;D_4__Pirellulaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Stappiaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Midichloriaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Pseudoalteromonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__;__	D_0__Bacteria;__;__;__;__	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;__;__	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Synechococcus CC9902	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade;__	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Stappiaceae;D_5__Pseudovibrio	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Stappiaceae;__	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;__	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae;D_5__uncultured	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Midichloriaceae;D_5__MD3-55	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingobium	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;__	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;__;__;__	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Pseudoalteromonadaceae;D_5__Pseudoalteromonas	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Aquabacterium	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Enhydrobacter	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Photobacterium	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__;__;__	D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Entomoplasmatales;D_4__Spiroplasmataceae;D_5__Spiroplasma	D_0__Bacteria;__;__;__;__;__
Eguchipsammia	950.5	613.0	261.0	327.0	19.0		8.0	111.0	0.5	0.5	87.5	28.0	72.5	6.0	68.5	101.0				3.0			111.0	0.5		87.5	2.5	55.0	4.0	4.0	64.5	101.0									0.5		77.5			2.5	43.5	4.0		64.5	88.0	13.0			
Isopora	992.3333333333334	809.3333333333334	437.3333333333333	351.3333333333333	16.0	34.666666666666664	18.0	11.666666666666666	3.0	0.3333333333333333	155.0	6.0	137.33333333333334	3.3333333333333335	124.0	36.333333333333336			34.666666666666664	3.0	3.3333333333333335	0.3333333333333333	11.666666666666666	1.0		155.0	2.0	117.0	2.3333333333333335	13.666666666666666	110.33333333333333	36.333333333333336				29.333333333333332					1.0		131.0			2.0	84.66666666666667	2.3333333333333335		110.33333333333333	23.333333333333332	13.0			
Danafungia	996.0	800.0	389.0	392.0	9.0	18.0	13.0	5.0	45.0		212.0		195.0	15.0	157.0	5.0			18.0				5.0	43.0		212.0		147.0			157.0	5.0				17.0					43.0		193.0				120.0			157.0		5.0			
Echinopora	980.0	694.8181818181819	281.1818181818182	404.09090909090907	72.54545454545455	38.81818181818182	11.454545454545455	19.454545454545453	1.6363636363636365	0.9090909090909091	133.45454545454547	5.818181818181818	145.27272727272728	72.27272727272727	115.18181818181819	28.181818181818183			38.81818181818182	5.363636363636363	11.909090909090908	0.2727272727272727	19.454545454545453			133.45454545454547	1.8181818181818181	124.54545454545455	70.36363636363636	4.454545454545454	110.72727272727273	28.181818181818183				32.27272727272727							121.0909090909091				110.36363636363636	70.36363636363636	0.18181818181818182	110.72727272727273	4.090909090909091	15.545454545454545		0.6363636363636364	
Porites	953.1818181818181	696.8181818181819	216.13636363636363	467.95454545454544	26.454545454545453	27.272727272727273	59.27272727272727	15.772727272727273	3.5	1.3181818181818181	62.68181818181818	55.45454545454545	76.63636363636364	206.54545454545453	91.5	7.681818181818182			27.272727272727273	15.954545454545455	3.5	46.18181818181818	15.772727272727273	0.5454545454545454	1.0	62.68181818181818	41.31818181818182	61.77272727272727	199.27272727272728	1.1363636363636365	90.36363636363636	7.681818181818182				24.59090909090909		45.5			0.3181818181818182	1.0	51.59090909090909			41.31818181818182	51.54545454545455	199.27272727272728	0.045454545454545456	90.36363636363636	0.7272727272727273	6.636363636363637		13.090909090909092	
Turbinaria	982.5	688.4	450.3	213.3	55.2	38.9	222.2	17.9	3.7	1.0	101.7	2.2	90.6	19.5	44.8	4.5			38.9	8.9	4.5	200.7	17.9	1.1	0.7	101.7	0.5	74.3	17.6	2.1	42.7	4.5				31.9					0.8	0.7	89.9			0.4	62.1	17.6		42.7	0.8	3.3			
Diploria	986.6666666666666	677.6666666666666	246.33333333333334	336.3333333333333	56.333333333333336	15.0	18.666666666666668	7.333333333333333	5.666666666666667	1.3333333333333333	108.33333333333333	1.3333333333333333	131.33333333333334	11.0	150.66666666666666	3.6666666666666665			15.0	12.666666666666666			7.333333333333333	5.333333333333333	0.3333333333333333	108.33333333333333		105.33333333333333	10.666666666666666	1.0	149.66666666666666	3.6666666666666665				15.0					5.333333333333333	0.3333333333333333	88.66666666666667				95.66666666666667	10.666666666666666		149.66666666666666	0.6666666666666666	3.0			
Lobophytum	959.0	522.5	108.0	408.5	21.5	8.5	11.5	18.0	7.0	0.5	41.5	1.5	31.5	256.0	102.5	3.0			8.5	18.5	2.0	2.0	18.0	5.0		41.5		27.0	256.0	4.0	98.5	3.0				3.0					5.0		28.5				11.0	256.0		98.5	0.5	2.5			
Pavona	984.1052631578947	738.9473684210526	333.10526315789474	383.4736842105263	34.578947368421055	65.63157894736842	63.89473684210526	20.157894736842106	6.842105263157895	1.4736842105263157	101.15789473684211	54.31578947368421	135.05263157894737	7.684210526315789	125.57894736842105	23.94736842105263			65.63157894736842	3.8421052631578947	7.631578947368421	51.26315789473684	20.157894736842106	0.21052631578947367	0.2631578947368421	101.15789473684211	0.8947368421052632	112.42105263157895	6.105263157894737	3.473684210526316	122.10526315789474	23.94736842105263				51.68421052631579		0.05263157894736842			0.15789473684210525	0.2631578947368421	82.05263157894737			0.8421052631578947	100.3157894736842	6.105263157894737		122.10526315789474	6.2105263157894735	15.578947368421053		0.3684210526315789	
Siderastrea	937.6666666666666	594.3333333333334	193.33333333333334	281.3333333333333	35.0	11.333333333333334	15.0	12.0	5.0	37.666666666666664	66.66666666666667	9.666666666666666	62.333333333333336	17.0	76.33333333333333	51.333333333333336			11.333333333333334	15.333333333333334	1.3333333333333333		12.0	0.6666666666666666	37.0	66.66666666666667	2.3333333333333335	53.0	16.666666666666668	29.333333333333332	47.0	51.333333333333336				9.333333333333334					0.6666666666666666	27.0	63.666666666666664			1.6666666666666667	47.666666666666664	16.666666666666668		47.0	18.333333333333332	31.333333333333332			
Diploastrea	978.8421052631579	720.9473684210526	346.6842105263158	357.36842105263156	40.421052631578945	67.10526315789474	11.947368421052632	12.210526315789474	5.7368421052631575	4.157894736842105	182.1578947368421	7.526315789473684	153.42105263157896	10.947368421052632	113.52631578947368	36.10526315789474			67.10526315789474	3.736842105263158	9.31578947368421	0.631578947368421	12.210526315789474	0.10526315789473684	2.210526315789474	182.1578947368421	0.21052631578947367	116.05263157894737	7.105263157894737	6.631578947368421	106.89473684210526	36.10526315789474				58.36842105263158					0.05263157894736842	2.210526315789474	156.73684210526315			0.15789473684210525	89.84210526315789	7.105263157894737	0.2631578947368421	106.78947368421052	8.578947368421053	27.210526315789473		0.47368421052631576	
Heliopora	970.0	555.0	208.0	337.0	21.0	64.0	38.0	99.0	4.0	2.0	13.0	7.0	9.0	5.0	4.0	12.0			64.0	6.0	4.0		99.0	1.0	1.0	13.0		8.0	4.0		4.0	12.0				46.0					1.0	1.0	10.0				6.0	4.0		4.0		11.0			
Dipsastraea	994.0	765.0	440.0	324.0	132.0	25.0	48.0	31.0	20.0		121.0	32.0	127.0	29.0	86.0				25.0		129.0		31.0	20.0		121.0	7.0	108.0		36.0	50.0					21.0					20.0		94.0			7.0	99.0			50.0					
Platygyra	954.25	740.75	320.5	414.5	75.0	58.0	85.5	24.75	2.0	1.0	94.5	54.5	73.0	11.0	67.5	183.75			58.0	1.0	26.0		24.75		1.0	94.5	12.0	54.5	4.5	2.5	65.0	183.75				56.5						1.0	76.25			11.25	43.0	4.5	0.25	65.0	55.5	128.25			
Echinophyllia	986.5	795.0	359.75	420.0	67.25	16.5	303.25	10.25	3.0	0.75	7.25	214.75	120.75	6.25	36.25	4.75			16.5	5.5	6.0	287.5	10.25	0.5	0.75	7.25	209.75	8.5	6.0	22.5	13.75	4.75				12.5		249.25			0.5	0.75	6.5			209.75	5.25	6.0		13.75	0.5	2.75			
Pachyseris	985.625	780.75	346.625	410.25	34.5	58.375	68.25	30.625	2.625	7.75	135.625	98.375	150.25	16.875	108.875	21.25			58.375	7.5	6.875	31.25	30.625	0.875	4.875	135.625	0.5	122.125	14.625	4.625	104.25	21.25				46.5		0.25			0.625	4.875	109.375			0.25	103.625	14.625		104.25	1.875	19.0			
Cyphastrea	841.2	722.4	403.4	315.0	21.4	35.6	235.0	1.8	2.4	6.8	77.2	0.4	91.2	136.8	66.6	0.2			35.6	2.4	2.6	234.0	1.8		2.4	77.2		71.2	136.0	1.8	64.8	0.2				18.6		199.4				2.4	66.4				53.0	136.0	0.2	64.8		0.2			
Seriatopora	986.5	879.5	329.0	547.5	36.5	13.0	53.5	7.0	2.0	9.0	88.0	1.5	244.0	2.0	266.5	20.5			13.0		24.0		7.0		6.0	88.0		198.0			266.5	20.5				10.5						6.0	54.5				129.0			266.5		20.5			
