host_genus	Unnamed: 0	sum_total	sum_dis	sum_healthy	sum_bbd	sum_wd	sum_seb	percent_healthy	percent_diseased	percent_black_band_disease	percent_white_disease	percent_skeletal_eroding_band	n_samples_tissue	faith_pd_tissue	observed_features_tissue	gini_index_tissue	dominance_tissue	simpson_e_tissue	most_abundant_domain_tissue	most_abundant_phylum_tissue	most_abundant_class_tissue	most_abundant_order_tissue	most_abundant_family_tissue	most_abundant_genus_tissue	n_samples_skeleton	faith_pd_skeleton	observed_features_skeleton	gini_index_skeleton	dominance_skeleton	simpson_e_skeleton	most_abundant_domain_skeleton	most_abundant_phylum_skeleton	most_abundant_class_skeleton	most_abundant_order_skeleton	most_abundant_family_skeleton	most_abundant_genus_skeleton	n_samples_mucus	faith_pd_mucus	observed_features_mucus	gini_index_mucus	dominance_mucus	simpson_e_mucus	most_abundant_domain_mucus	most_abundant_phylum_mucus	most_abundant_class_mucus	most_abundant_order_mucus	most_abundant_family_mucus	most_abundant_genus_mucus	n_samples_all	faith_pd_all	observed_features_all	gini_index_all	dominance_all	simpson_e_all	most_abundant_domain_all	most_abundant_phylum_all	most_abundant_class_all	most_abundant_order_all	most_abundant_family_all	most_abundant_genus_all
Cataphyllia	10.0	13.0	0.0	13.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0																																																
Caulastrea	11.0	159.0	3.0	145.0	0.0	1.0	2.0	91.19496855345909	1.88679245283019	0.0	0.628930817610063	1.25786163522013	7												10												8												25											
Cirrhipathes	12.0	2.0	0.0	2.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0																																																
Cladacora	13.0	23.0	0.0	23.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0																																																
Coeloseris	14.0	97.0	1.0	90.0	1.0	0.0	0.0	92.7835051546392	1.03092783505155	1.03092783505155	0.0	0.0																																																
Colpophyllia	15.0	2383.0	44.0	2339.0	9.0	3.0	0.0	98.1535879143936	1.8464120856063797	0.377675199328577	0.125891733109526	0.0																																																
Coscinaraea	16.0	6.0	0.0	6.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0																																																
Coscinaria	17.0	102.0	0.0	99.0	0.0	0.0	0.0	97.0588235294118	0.0	0.0	0.0	0.0																																																
Ctenactis	18.0	64.0	0.0	61.0	0.0	0.0	0.0	95.3125	0.0	0.0	0.0	0.0																																																
Cycloseris	19.0	238.0	5.0	233.0	0.0	0.0	0.0	97.8991596638655	2.10084033613445	0.0	0.0	0.0																																																
Cynaria	20.0	0.0	0.0	0.0	0.0	0.0	0.0																																																					
Cyphastrea	21.0	2539.0	550.0	1940.0	1.0	7.0	2.0	76.4080346593147	21.6620716817645	0.0393855848759354	0.27569909413154803	0.0787711697518708	2	23.004514789888635	28.0	0.9423333333333334	0.8701490000000001	0.0418514458024553	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas	4	54.05483189225006	108.25	0.9249158163265306	0.17656700000000003	0.09086646423406163	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales	Unassigned;__;__;__;__	Unassigned;__;__;__;__;__	2	17.759406236875257	31.0	0.8372641509433962	0.26287	0.22518470446230426	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas	8	37.218396202816	68.875	0.9616383442265797	0.37153825	0.1121922696832207	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas
Dendrogyra	22.0	9.0	0.0	9.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0																																																
Dichocoenia	23.0	4559.0	58.0	4501.0	6.0	17.0	0.0	98.7277911822768	1.2722088177231798	0.131607808729985	0.37288879140162295	0.0																																																
Diploastrea	24.0	284.0	2.0	275.0	0.0	2.0	0.0	96.83098591549299	0.7042253521126759	0.0	0.7042253521126759	0.0	23	109.57878821105355	284.3478260869565	0.9703499098021434	0.029092086956521743	0.21799412003890684	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia	23	118.41254124338228	322.0	0.9663791427229029	0.04861834782608695	0.18819872024787648	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales	D_0__Bacteria;D_1__Bacteroidetes;D_2__Chlorobia;D_3__Chlorobiales;D_4__Chlorobiaceae	D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Chloroflexales;D_4__Chloroflexaceae;D_5__Candidatus Chlorothrix	16	41.141287822745554	90.8125	0.9696280327004221	0.10923575	0.1774185521253774	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingobium	62	95.1945352034831	248.3709677419355	0.9867233543409679	0.05701793548387098	0.19646987355809767	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingobium
Diploria	25.0	828.0	16.0	812.0	1.0	1.0	0.0	98.06763285024158	1.93236714975845	0.12077294685990302	0.12077294685990302	0.0																																																
Dipsastraea													4	58.37776248560754	130.0	0.9141242236024845	0.24254000000000003	0.07732859455363564	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae;D_5__uncultured	2	110.8307469099456	283.5	0.8033401486988847	0.045934	0.09860312013701644	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae;__	1	41.7272001716669	115.0	0.6648000000000001	0.036788000000000015	0.2363719738478048	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade;__	7	70.98567770485546	171.71428571428572	0.9410921704658077	0.1569737142857143	0.10612751319091147	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae;D_5__uncultured
