Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model_3,pVal_Model_3,Rsquared_Model_3,Adj_Rsquared_Model_3,x_trait_slope_95CI,intercept_95CI,Fixed_parameter,Estimated_parameter_95%_CI,AIC_Model_3,AICc_Model_3,Model_3l,pVal_Model_3l,Rsquared_Model_3l,Adjust_Rsquared_Model_3l,x_Trait_slope_95CI_Model_3l,intercept_95CI_Model_3l,Fixed_parameter_Model_3l,Estimated_paramter_95_CI_Model_3l,AIC_Model_3l,AICc_Model_3l,Model_3d,pVal_Model_3d,Rsqared_Model_3d,Adjust_Rsquared_3d,x_trait_slope_95CI_3d,Intercept_95CI_3d,Fixed_Parameter_Model_3d,Estimated_Parameter_95_CI_Model_3d,AIC_Model_3d,AICc_Model_3d,Model_3k,pVal_Model_3k,Rsquared_Model_3k,Adjust_Rsquared_Model_3k,x_trait_slope_95CI_Model_3k,Intercept_95CI_Model_3k,Fixed_Parameter_Model_3k,Estimated_Paramter_95_CI_Model_3k,AIC_Model_3k,AICc_Model_3k,Minimum_AIC,Minimum_AICc
perc_dis,gini_index_tissue,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.696690159,0.004043107,-0.022166285,3.91724887,0.907467195177604 + 2.30953645403222 - -1.61046354596778,"lambda=1,delta=1,kappa=1",lambda,6.266157988,6.590482312,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.872290392,0.000688782,-0.025608882,0.00058698649755895 + 1.96362698619707 - -1.95637301380293,0.884846323765607 + 1.98014751554006 - -1.93985248445994,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,-66.09678482,-65.77246049,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.714391968,0.003564756,-0.022657224,3.917506042,0.908966973522558 + 2.10226785707259 - -1.81773214292741,"lambda=l,delta=ML,kappa=1",3 -/+ 2.15256753504362,-3.941009917,-3.616685593,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.657131916,0.005239761,-0.02093814,3.918530303,0.916334981496097 + 2.03453467483893 - -1.88546532516107,"lambda=1,delta=1,kappa=ML",1e-06 -/+ NA,-53.73860295,-53.41427863,Model_3l_AIC,Model_3l_AICc
perc_dis,gini_index_tissue,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.696690159,0.004043107,-0.022166285,3.91724887,0.907467195177604 + 2.30953645403222 - -1.61046354596778,"lambda=1,delta=1,kappa=1",lambda,6.266157988,6.590482312,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.872290392,0.000688782,-0.025608882,0.00058698649755895 + 1.96362698619707 - -1.95637301380293,0.884846323765607 + 1.98014751554006 - -1.93985248445994,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.498813962774245,-66.09678482,-65.77246049,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.714391968,0.003564756,-0.022657224,3.917506042,0.908966973522558 + 2.10226785707259 - -1.81773214292741,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-3.941009917,-3.616685593,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.657131916,0.005239761,-0.02093814,3.918530303,0.916334981496097 + 2.03453467483893 - -1.88546532516107,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.157650462719196,-53.73860295,-53.41427863,Model_3l_AIC,Model_3l_AICc
perc_bbd,observed_features_tissue,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.268758569,0.032085169,0.006613726,-111.9023375,179.791184453415 + 161.979133675777 - 158.059133675777,"lambda=1,delta=1,kappa=1",lambda,496.4042552,496.7285795,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.03426601,0.11261562,0.0892634,-145.209051,183.842596619839 + 29.2911612631786 - 25.3711612631786,"lambda=ML,delta=1,kappa=1",0.149541776131905 -/+ 0.863830676526725,478.8668622,479.1911865,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.222474855,0.038906595,0.013614663,-117.008433,187.698818630972 + 69.580380540113 - 65.660380540113,"lambda=l,delta=ML,kappa=1",3 -/+ NA,489.1784669,489.5027912,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.029091707,0.119233074,0.096054997,-147.7585761,164.821438811657 + 72.784196279821 - 68.8641962798211,"lambda=1,delta=1,kappa=ML",0.190455108002044 -/+ 0.649440954775098,483.7376478,484.0619722,Model_3l_AIC,Model_3l_AICc
perc_bbd,dominance_tissue,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.821002835,0.001364052,-0.024915842,0.0416668508683224 + 2.14288879147479 - -1.77711120852521,0.192388939487765 + 2.24359075830318 - -1.67640924169682,"lambda=1,delta=1,kappa=1",lambda,-10.43706206,-10.11273774,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.876343371,0.000645422,-0.025653382,0.0161256485295453 + 2.06293504047176 - -1.85706495952824,0.174775622618911 + 1.9849174952611 - -1.9350825047389,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.354406277147203,-39.81065888,-39.48633455,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.855286518,0.000886501,-0.025405959,0.0313510772578086 + 2.13073728077403 - -1.78926271922597,0.184903523270569 + 2.07841266484455 - -1.84158733515545,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-18.62065476,-18.29633044,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.944217383,0.000130535,-0.026181819,3.912255163,0.23587191787026 + 2.07017637932125 - -1.84982362067875,"lambda=1,delta=1,kappa=ML",0.035670460580087 -/+ 0.545598767381002,-23.76121222,-23.43688789,Model_3l_AIC,Model_3l_AICc
perc_bbd,gini_index_tissue,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.842461725,0.001052679,-0.025235408,0.0451630375317474 + 2.18569116902498 - -1.73430883097502,0.892623673058289 + 2.30996092024015 - -1.61003907975985,"lambda=1,delta=1,kappa=1",lambda,6.386080719,6.710405044,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.209241484,0.041167372,0.015934934,0.0927218814206512 + 2.03259141586017 - -1.88740858413983,0.877498399479852 + 1.97757221109938 - -1.94242778890062,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.416210206819124,-67.75077394,-67.42644961,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.812126301,0.001505226,-0.024770952,0.0491459352680482 + 2.16533729086185 - -1.75466270913815,0.893786299042215 + 2.1024090608254 - -1.8175909391746,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-3.85841932,-3.534094996,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.708019594,0.003733016,-0.022484536,0.0280905007621076 + 2.03444329741672 - -1.88555670258328,0.908928631767067 + 2.03371829659934 - -1.88628170340065,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.155494269798983,-53.67806153,-53.35373721,Model_3l_AIC,Model_3l_AICc
perc_wd,observed_features_tissue,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.599900262,0.007309678,-0.018813752,-10.68930524,171.434412865006 + 163.807590915022 - 159.887590915022,"lambda=1,delta=1,kappa=1",lambda,497.4152414,497.7395657,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.801861644,0.001677643,-0.024593998,-3.415601385,162.318477134524 + 21.5072594775118 - 17.5872594775118,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.887796207747283,483.099476,483.4238003,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.631030768,0.006131617,-0.020022814,-9.572548257,177.12908875062 + 70.1945959752796 - 66.2745959752796,"lambda=l,delta=ML,kappa=1",3 -/+ NA,490.5197943,490.8441186,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.929351369,0.00020958,-0.026100694,2.42050132208632 + 29.0802304698686 - 25.1602304698686,157.003521876585 + 86.3599044679727 - 82.4399044679728,"lambda=1,delta=1,kappa=ML",0.337492041882259 -/+ 0.781440051971371,488.3753962,488.6997205,Model_3l_AIC,Model_3l_AICc
perc_wd,dominance_tissue,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.337529512,0.024226655,-0.001451591,3.873595264,0.209632140022901 + 2.23996836050092 - -1.68003163949908,"lambda=1,delta=1,kappa=1",lambda,-11.36346066,-11.03913633,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.815940083,0.001443675,-0.024834123,3.910139839,0.180359464877347 + 1.98832696410592 - -1.93167303589408,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.346071494305215,-39.84262238,-39.51829805,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.361569081,0.02195126,-0.003786865,3.876153785,0.202139060992748 + 2.07625626489989 - -1.84374373510011,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-19.47300993,-19.1486856,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.579323321,0.008161176,-0.017939846,3.894973272,0.239425065026184 + 2.07079186384898 - -1.84920813615102,"lambda=1,delta=1,kappa=ML",0.0473223830688613 -/+ 0.561910937323416,-24.08226831,-23.75794398,Model_3l_AIC,Model_3l_AICc
perc_wd,gini_index_tissue,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.989011552,5.06E-06,-0.026310599,0.000827274984611683 + 2.01967363086436 - -1.90032636913564,0.897224193494264 + 2.30969801015678 - -1.61030198984322,"lambda=1,delta=1,kappa=1",lambda,6.428007769,6.752332093,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.105142213,0.067614178,0.043077709,0.0485823577167672 + 1.98926615935195 - -1.93073384064805,0.867171120073025 + 1.9797070676684 - -1.9402929323316,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.417113701939935,-68.86956718,-68.54524285,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.946022288,0.000122213,-0.026190361,0.0039358109221295 + 2.01775080339154 - -1.90224919660846,0.898555726947891 + 2.10141111925728 - -1.81858888074272,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-3.803053715,-3.47872939,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.54746606,0.009602669,-0.016460418,0.0186596480374135 + 1.99074116980883 - -1.92925883019117,0.907433636021747 + 2.03354419880381 - -1.88645580119619,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.151821314302361,-53.91442436,-53.59010004,Model_3l_AIC,Model_3l_AICc
perc_dis,observed_features_skeleton,581844,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.624959033,0.006030812,-0.018818418,1.66069422181557 + 5.33099614562139 - 1.41099614562139,159.116761357703 + 170.304198126214 - 166.384198126214,"lambda=1,delta=1,kappa=1",lambda,522.9414178,523.2491101,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.667077336,0.004673203,-0.020209967,2.549533094,174.813031308271 + 19.1120752679441 - 15.1920752679441,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.370446220800036,499.9779293,500.2856216,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.661240672,0.004849057,-0.020029717,1.47876513893102 + 5.30953901481045 - 1.38953901481045,159.54308714413 + 72.4608098105339 - 68.5408098105339,"lambda=l,delta=ML,kappa=1",3 -/+ NA,515.1121847,515.419877,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.449786488,0.014355093,-0.01028603,2.05787909122248 + 4.65616889748322 - 0.736168897483217,148.226470634306 + 65.9407216622415 - 62.0207216622415,"lambda=1,delta=1,kappa=ML",0.0748320708614826 -/+ 0.536572829970724,505.9768835,506.2845758,Model_3l_AIC,Model_3l_AICc
perc_dis,dominance_skeleton,581844,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.95744798,7.21E-05,-0.024926133,0.00032445738297287 + 1.96604295897567 - -1.95395704102433,0.144218364898874 + 2.26177936702461 - -1.65822063297539,"lambda=1,delta=1,kappa=1",lambda,-8.280444004,-7.972751696,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.794708906,0.001712428,-0.023244761,0.00124688632560314 + 1.96476012655555 - -1.95523987344445,0.131349454501934 + 1.9858179092815 - -1.9341820907185,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.33309100772656,-45.92177832,-45.61408601,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.947765615,0.000108642,-0.024888642,0.000391449830408767 + 1.96593776874811 - -1.95406223125188,0.139534897546778 + 2.08497764718035 - -1.83502235281965,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-17.04835978,-16.74066747,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.720179093,0.003243096,-0.021675827,0.00166870885414258 + 1.96462557057927 - -1.95537442942073,0.166608719329648 + 2.06477979456561 - -1.85522020543439,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.353551512506222,-27.88325002,-27.57555771,Model_3l_AIC,Model_3l_AICc
perc_dis,gini_index_skeleton,581844,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.825156163,0.001234702,-0.023734431,0.000960481290984338 + 1.96431926229557 - -1.95568073770443,0.883157487526343 + 2.17569966746762 - -1.74430033253238,"lambda=1,delta=1,kappa=1",lambda,-36.48841394,-36.18072163,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.25493296,0.032275703,0.008082596,0.00432284627560633 + 1.96374263747501 - -1.95625736252499,0.865567521920461 + 1.98029926592827 - -1.93970073407173,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.55088630429617,-66.12240786,-65.81471556,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.782626344,0.001925069,-0.023026804,0.00118837387583505 + 1.96427840156271 - -1.95572159843729,0.882066513901577 + 2.0500514290271 - -1.8699485709729,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-44.57969225,-44.27199995,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.664624181,0.004746647,-0.020134687,0.00160900868846984 + 1.96368384845113 - -1.95631615154887,0.894332105355794 + 2.05317945513968 - -1.86682054486032,"lambda=1,delta=1,kappa=ML",0.171813740697663 -/+ 0.610611256181295,-49.19959785,-48.89190554,Model_3l_AIC,Model_3l_AICc
perc_bbd,observed_features_skeleton,581844,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.524631559,0.010194315,-0.014550827,-64.16075809,172.443611866651 + 169.893078699526 - 165.973078699526,"lambda=1,delta=1,kappa=1",lambda,522.7651202,523.0728125,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.047568746,0.094576693,0.07194111,-122.7876966,183.00431495507 + 16.6651103164448 - 12.7451103164448,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.288034762460411,496.0018504,496.3095427,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.447933085,0.014472024,-0.010166176,-72.28891808,174.272847546678 + 72.0932954607614 - 68.1732954607614,"lambda=l,delta=ML,kappa=1",3 -/+ NA,514.7040743,515.0117666,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.095456606,0.067946728,0.044645396,-95.68480363,161.083173594627 + 59.9878883725124 - 56.0678883725124,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.461533396814722,503.738779,504.0464713,Model_3l_AIC,Model_3l_AICc
perc_bbd,dominance_skeleton,581844,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.865025653,0.000731149,-0.024250572,3.887413189,0.148890473862144 + 2.26157542820463 - -1.65842457179537,"lambda=1,delta=1,kappa=1",lambda,-8.30813666,-8.000444352,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.807828978,0.001496472,-0.023466117,0.023955464332248 + 2.0578397093989 - -1.8621602906011,0.132883158354902 + 1.98321008156953 - -1.93678991843047,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.331727942916908,-45.91269356,-45.60500125,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.890441068,0.0004802,-0.024507795,3.895449595,0.143967483324912 + 2.08490843854708 - -1.83509156145292,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-17.06396982,-16.75627751,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.938296158,0.000151686,-0.024844521,3.911880721,0.173487683665573 + 2.06368875409966 - -1.85631124590034,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.358621535382557,-27.75318996,-27.44549765,Model_3l_AIC,Model_3l_AICc
perc_bbd,gini_index_skeleton,581844,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.655860539,0.005014577,-0.019860059,3.858966461,0.89318807639901 + 2.17521656634877 - -1.74478343365123,"lambda=1,delta=1,kappa=1",lambda,-36.64766647,-36.33997416,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.250894254,0.032820598,0.008641113,0.0895890361588936 + 2.03689624694305 - -1.88310375305694,0.870241459693333 + 1.97824175659253 - -1.94175824340747,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.479324727968913,-66.14606338,-65.83837107,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.770378997,0.002154295,-0.022791848,3.88249811,0.89101030811785 + 2.05000795053186 - -1.86999204946814,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-44.58933943,-44.28164712,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.959536873,6.52E-05,-0.024933213,0.00448051198745515 + 2.04776085812451 - -1.87223914187549,0.899813570308628 + 2.05305421300996 - -1.86694578699004,"lambda=1,delta=1,kappa=ML",0.177850914038386 -/+ 0.6184309865797,-49.00355888,-48.69586657,Model_3l_AIC,Model_3l_AICc
perc_wd,observed_features_skeleton,581844,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.429201558,0.015696333,-0.008911259,-18.579425,171.309363817199 + 169.219361787418 - 165.299361787418,"lambda=1,delta=1,kappa=1",lambda,522.5310041,522.8386964,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.878834211,0.000588138,-0.024397159,-0.14484024,172.151210658516 + 19.5207785592163 - 15.6007785592163,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.389622784459485,500.1499548,500.4576471,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.464284318,0.013465377,-0.011197988,-16.8492612,171.314813791281 + 71.6025065764339 - 67.6825065764339,"lambda=l,delta=ML,kappa=1",3 -/+ NA,514.7469524,515.0546447,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.925948159,0.000218656,-0.024775877,1.523025981,156.666820189647 + 66.4992287229608 - 62.5792287229608,"lambda=1,delta=1,kappa=ML",0.0890700696260675 -/+ 0.560660117562697,506.5746638,506.8823562,Model_3l_AIC,Model_3l_AICc
perc_wd,dominance_skeleton,581844,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.909170171,0.000329424,-0.02466234,0.00582564132365121 + 2.01074161412176 - -1.90925838587824,0.143798634394624 + 2.26126441660544 - -1.65873558339456,"lambda=1,delta=1,kappa=1",lambda,-8.291255269,-7.983562961,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.78757722,0.001836329,-0.023117763,3.909204604,0.139528602730705 + 1.98637738930021 - -1.93362261069979,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.326560382728645,-45.92699141,-45.6192991,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.912960506,0.000302401,-0.024690039,0.00550439580149675 + 2.01004059029833 - -1.90995940970167,0.139297960234229 + 2.08398206443992 - -1.83601793556008,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-17.05649932,-16.74880702,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.692949785,0.003938993,-0.020962532,0.0174914468844077 + 2.00397907682894 - -1.91602092317106,0.1697917185898 + 2.06356449683771 - -1.85643550316229,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.35495702381167,-27.91258304,-27.60489073,Model_3l_AIC,Model_3l_AICc
perc_wd,gini_index_skeleton,581844,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.429671998,0.01566461,-0.008943775,0.0287301685852733 + 1.99600973573824 - -1.92399026426176,0.878766843265226 + 2.17379792931431 - -1.74620207068569,"lambda=1,delta=1,kappa=1",lambda,-37.09964547,-36.79195316,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.129038988,0.056653447,0.033069783,0.0478837056387589 + 1.99089443250804 - -1.92910556749196,0.860035917391308 + 1.98047754246519 - -1.93952245753481,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.53321375682858,-67.19397542,-66.88628311,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.396250554,0.018052869,-0.00649581,0.0306721560898245 + 1.99576722532888 - -1.92423277467112,0.877092208136797 + 2.0486179481322 - -1.8713820518678,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-45.26390946,-44.95621715,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.228908602,0.035981229,0.01188076,0.041325318762028 + 1.99382135191018 - -1.92617864808982,0.892893068323751 + 2.05013313570575 - -1.86986686429425,"lambda=1,delta=1,kappa=ML",0.160880522115999 -/+ 0.591571959558151,-50.53302509,-50.22533279,Model_3l_AIC,Model_3l_AICc
