Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model_3,pVal_Model_3,Rsquared_Model_3,Adj_Rsquared_Model_3,x_trait_slope_95CI,intercept_95CI,Fixed_parameter,Estimated_parameter_95%_CI,AIC_Model_3,AICc_Model_3,Model_3l,pVal_Model_3l,Rsquared_Model_3l,Adjust_Rsquared_Model_3l,x_Trait_slope_95CI_Model_3l,intercept_95CI_Model_3l,Fixed_parameter_Model_3l,Estimated_paramter_95_CI_Model_3l,AIC_Model_3l,AICc_Model_3l,Model_3d,pVal_Model_3d,Rsqared_Model_3d,Adjust_Rsquared_3d,x_trait_slope_95CI_3d,Intercept_95CI_3d,Fixed_Parameter_Model_3d,Estimated_Parameter_95_CI_Model_3d,AIC_Model_3d,AICc_Model_3d,Model_3k,pVal_Model_3k,Rsquared_Model_3k,Adjust_Rsquared_Model_3k,x_trait_slope_95CI_Model_3k,Intercept_95CI_Model_3k,Fixed_Parameter_Model_3k,Estimated_Paramter_95_CI_Model_3k,AIC_Model_3k,AICc_Model_3k,Minimum_AIC,Minimum_AICc
perc_dis,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.118255726,0.062991977,0.038333872,0.0115232009673117 + 1.96720958674687 - -1.95279041325313,0.151519278472229 + 2.30808431944778 - -1.61191568055222,"lambda=1,delta=1,kappa=1",lambda,5.619359124,5.943683449,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.256510247,0.033746271,0.008318542,0.00583185760693825 + 1.96506229917225 - -1.95493770082775,0.181396540007134 + 1.98792273517566 - -1.93207726482434,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.50647654502327,-39.6983972,-39.37407288,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.125083153,0.060796493,0.036080612,0.0110389428469595 + 1.96703843774552 - -1.95296156225448,0.151646381210568 + 2.10375975279604 - -1.81624024720396,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-3.543111931,-3.218787607,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.063997771,0.087407646,0.063392058,0.00892897401733781 + 1.96468029751237 - -1.95531970248763,0.177869859717407 + 2.06407456587919 - -1.85592543412081,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.227555444109393,-27.03261753,-26.7082932,Model_3l_AIC,Model_3l_AICc
perc_dis,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.271748055,0.03169359,0.006211842,0.00383341412657058 + 1.96343727777004 - -1.95656272222996,0.886824975386763 + 2.12595437926566 - -1.79404562073434,"lambda=1,delta=1,kappa=1",lambda,-53.63918654,-53.31486222,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.106119238,0.067249307,0.042703236,0.00534431553902945 + 1.96322878537568 - -1.95677121462432,0.869393214881479 + 1.97780940160123 - -1.94219059839877,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.881146813551968,-75.67557641,-75.35125209,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.256542749,0.033741738,0.008313889,0.00391775488312643 + 1.96340101343244 - -1.95659898656756,0.888453325550987 + 2.02946553595849 - -1.89053446404151,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-61.72813424,-61.40380991,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.2279431,0.038017386,0.012702054,0.00341736880427501 + 1.96278864055054 - -1.95721135944946,0.896970806676088 + 2.02672824608702 - -1.89327175391298,"lambda=1,delta=1,kappa=ML",0.118748547882217 -/+ 0.549871683904945,-69.88905625,-69.56473193,Model_3l_AIC,Model_3l_AICc
perc_bbd,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.689773136,0.004239419,-0.021964807,31.9261278363729 + 81.3340864380657 - 77.4140864380658,104.257011487234 + 124.827886597722 - 120.907886597722,"lambda=1,delta=1,kappa=1",lambda,474.9724447,475.296769,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.823562853,0.001324691,-0.024956238,-5.283131421,106.005980349636 + 41.2396907168937 - 37.3196907168937,"lambda=ML,delta=1,kappa=1",0.759659414678212 -/+ 0.944079765870019,434.9796375,435.3039619,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.778940744,0.002098731,-0.024161828,20.8380450756569 + 75.670698172259 - 71.750698172259,105.167339794292 + 53.0219274120895 - 49.1019274120895,"lambda=l,delta=ML,kappa=1",3 -/+ NA,466.3863262,466.7106505,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.894022164,0.000473089,-0.02583025,5.17153797037801 + 40.5214690064325 - 36.6014690064325,107.436958669105 + 42.3956169381946 - 38.4756169381946,"lambda=1,delta=1,kappa=ML",0.163856599761689 -/+ 0.455614190133572,440.5834474,440.9077717,Model_3l_AIC,Model_3l_AICc
perc_bbd,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.67967713,0.004535643,-0.021660788,3.823605974,0.203787819252622 + 2.31860092194655 - -1.60139907805345,"lambda=1,delta=1,kappa=1",lambda,8.040058112,8.364382436,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.327423135,0.025247813,-0.00040356,3.817485944,0.210174686305097 + 1.98499871888323 - -1.93500128111677,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.413774788807394,-39.3481247,-39.02380038,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.658294105,0.005201994,-0.020976901,3.824932877,0.204495330090357 + 2.10773649158818 - -1.81226350841182,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-1.242810919,-0.918486594,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.690652708,0.004214159,-0.021990732,3.876554439,0.214229410181186 + 2.06738144476031 - -1.85261855523969,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.240999600415502,-23.54290049,-23.21857616,Model_3l_AIC,Model_3l_AICc
perc_bbd,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.635389597,0.005976766,-0.02018174,0.0518959354814527 + 2.06856920871012 - -1.85143079128988,0.895282166919444 + 2.12806075915228 - -1.79193924084772,"lambda=1,delta=1,kappa=1",lambda,-52.59070641,-52.26638208,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.235751963,0.036789761,0.011442123,0.0803321120902516 + 2.02667982469922 - -1.89332017530078,0.878597186039521 + 1.97613189401692 - -1.94386810598308,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.88033227829594,-74.39022643,-74.06590211,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.602911259,0.007190057,-0.01893652,0.0532447668329614 + 2.06149672382859 - -1.85850327617141,0.896647897351625 + 2.0303102598837 - -1.8896897401163,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-60.64381029,-60.31948597,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.538966606,0.010014072,-0.016038189,0.0404900791293575 + 2.02530793824282 - -1.89469206175718,0.906684961752477 + 2.02766685889407 - -1.89233314110593,"lambda=1,delta=1,kappa=ML",0.130878649443155 -/+ 0.557598225244741,-68.74689609,-68.42257177,Model_3l_AIC,Model_3l_AICc
perc_wd,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.357973314,0.022278603,-0.003450907,-6.019720686,110.460596738766 + 123.459563136993 - 119.539563136993,"lambda=1,delta=1,kappa=1",lambda,474.2411611,474.5654855,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.270466267,0.031860842,0.006383496,-8.18222193,108.753978968133 + 39.711013481383 - 35.791013481383,"lambda=ML,delta=1,kappa=1",0.746208267593039 -/+ 0.942904916037665,433.7507709,434.0750952,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.357116054,0.022357296,-0.003370143,-6.161175822,110.856979957697 + 51.8338378116966 - 47.9138378116966,"lambda=l,delta=ML,kappa=1",3 -/+ NA,465.5659233,465.8902476,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.52689744,0.010618718,-0.015417631,-2.90321494,109.174400579775 + 42.5767031878745 - 38.6567031878745,"lambda=1,delta=1,kappa=ML",0.176898111171291 -/+ 0.466243074161475,440.1828567,440.5071811,Model_3l_AIC,Model_3l_AICc
perc_wd,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.017325766,0.140132086,0.117503983,0.0727673593332316 + 1.98924097809609 - -1.93075902190391,0.172979926923597 + 2.29259877832981 - -1.62740122167019,"lambda=1,delta=1,kappa=1",lambda,2.182836931,2.507161255,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.242204217,0.035810843,0.010437445,0.0389736056055671 + 1.99280595116367 - -1.92719404883633,0.181227024217459 + 1.98770191214553 - -1.93229808785447,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.391799596462958,-39.78395572,-39.4596314,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.022122028,0.130291292,0.10740422,0.0705222488861211 + 1.98955721898586 - -1.93044278101414,0.170850320856514 + 2.09631276520477 - -1.82368723479523,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-6.618065736,-6.293741411,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.939525981,0.000153457,-0.026158294,0.00261011971038214 + 1.99417761220964 - -1.92582238779036,0.210950540039687 + 2.06754313240623 - -1.85245686759377,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.258827646881512,-23.38011672,-23.0557924,Model_3l_AIC,Model_3l_AICc
perc_wd,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.002302627,0.219385702,0.198843221,0.042701338735303 + 1.9730666357055 - -1.9469333642945,0.888740273945415 + 2.10862522923304 - -1.81137477076696,"lambda=1,delta=1,kappa=1",lambda,-62.25788277,-61.93355845,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.253677345,0.034144048,0.008726786,0.0241670555760076 + 1.98085117917532 - -1.93914882082468,0.883236264270755 + 1.98618380349016 - -1.93381619650984,"lambda=ML,delta=1,kappa=1",0.123845062640182 -/+ 0.905622089700364,-74.51438876,-74.19006443,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.003376988,0.204698034,0.183769034,0.0421105205067169 + 1.9734650510452 - -1.9465349489548,0.889915318869638 + 2.02209847896964 - -1.89790152103036,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-69.51650527,-69.19218094,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.08075419,0.078091797,0.053831055,0.031324734380174 + 1.97745969810986 - -1.94254030189014,0.90189109716101 + 2.03145789211077 - -1.88854210788923,"lambda=1,delta=1,kappa=ML",0.241479960274778 -/+ 0.729252466519735,-71.36852387,-71.04419955,Model_3l_AIC,Model_3l_AICc
perc_dis,observed_features_tissue,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.209340699,0.041149816,0.015916917,4.07701769394192 + 5.1525832146851 - 1.2325832146851,152.56661579165 + 161.273533117254 - 157.353533117254,"lambda=1,delta=1,kappa=1",lambda,496.0278849,496.3522092,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.734684046,0.00305781,-0.023177511,1.18554716431181 + 5.43261639426231 - 1.51261639426231,155.510546216744 + 21.2500080029494 - 17.3300080029494,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.937568303254931,483.0441382,483.3684626,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.239114449,0.036275735,0.01091457,3.85045792458275 + 5.17950325285223 - 1.25950325285223,158.784469735218 + 69.6756005323452 - 65.7556005323452,"lambda=l,delta=ML,kappa=1",3 -/+ NA,489.2878117,489.612136,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.143407851,0.055486023,0.030630392,4.32683285873703 + 4.85594771301863 - 0.935947713018626,141.581041609992 + 83.9419602329089 - 80.0219602329089,"lambda=1,delta=1,kappa=ML",0.32881473087943 -/+ 0.757041344353218,486.1036147,486.427939,Model_3l_AIC,Model_3l_AICc
perc_dis,dominance_tissue,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.010091377,0.16175787,0.139698867,0.0141034865791628 + 1.96520818885373 - -1.95479181114627,0.145502342111849 + 2.21989454671453 - -1.70010545328547,"lambda=1,delta=1,kappa=1",lambda,-17.44039405,-17.11606972,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.000625236,0.267905559,0.248639916,0.0160793227840153 + 1.96431189967393 - -1.95568810032607,0.124152359866665 + 1.98395213573127 - -1.93604786426873,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.412093549327754,-52.25866386,-51.93433954,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.008625292,0.167993062,0.146098142,0.0142313425407061 + 1.96513773707244 - -1.95486226292756,0.13618098535458 + 2.06806168651313 - -1.85193831348687,"lambda=l,delta=ML,kappa=1",3 -/+ NA,-25.94175893,-25.61743461,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.000764344,0.260584658,0.241126359,0.0150560197035107 + 1.96411422637272 - -1.95588577362728,0.179768584452331 + 2.05374247782818 - -1.86625752217182,"lambda=1,delta=1,kappa=ML",0.00695483433907824 -/+ 0.448816538568646,-35.81770422,-35.4933799,Model_3l_AIC,Model_3l_AICc
