map$host_genus	pcrtubeno	qiita_study_id	daily_replicate	depth	temperature	surface_temperature	salinity	oxygen	photosynthetically_active_radiation	compartment_replicates	colony_height_m	colony_width1	colony_width2	tissue_loss_percent	disease_percent	cyanobacteria_percent	turf_contact_percent	n_algal_contacts	n_macroalgal_contacts	cca_contact_percent	parrotfish_bites	oz_disease_mean	oz_disease_sd	Colony.maximum.diameter	Corallite.width.maximum	Corallite.width.minimum	Depth.lower	Depth.upper	Eastern.most.range.edge	Northern.most.range.edge	Oocyte.size.at.maturity	Propagule.size.on.release.max	Propagule.size.on.release.mean	Range.size	Skeletal.density	Species.age.phylogeny	Western.most.range.edge	prop_Colony_maximum_GCMP_recorded	prop_Colony_maximum_diameter_universal	prop_Colony_maximum_diameter	Colony_maximum_diameter	Colony_maximum_GCMP_recorded	Colony_maximum_diameter_universal
Sarcophyton	1190	10895	1	9.45	23.89	24.44	NA	NA	NA	1	10	13	20	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scolymia	762.5	10895	2.5	7.3914	26.125	NA	NA	NA	NA	1	3.25	2.375	0	NA	NA	0	NA	0.25	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seriatopora	406.44444444444446	10895	2	1.9000000000000001	22	NA	NA	NA	NA	1	16.333333333333332	19.5	14.666666666666666	0	0	0.16666666666666666	0	0.16666666666666666	0	0	NA	3.135283206	1.53794235	NA	0.8	0.6	NA	NA	-138.281744	32.07198788	NA	NA	NA	74272454.28	2.2	1.051924158	31.8660454	NA	NA	NA	NA	NA	NA
Siderastrea	696.3333333333334	10895	2	19	28	NA	NA	NA	NA	1	33	8.666666666666666	27	NA	NA	0	0	0	0	NA	NA	NA	NA	130	4.5	3.4	70	0	NA	NA	NA	NA	NA	NA	NA	8.672828227	NA	NA	NA	NA	NA	NA	NA
Sinularia	921.5	10895	1	5.18	26.1	NA	NA	NA	4600	1	10	25	20	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stephanocoenia	797	10895	3	6.21792	28	NA	NA	NA	NA	1	14	11	2	NA	NA	0	0	0.4	0.4	NA	NA	NA	NA	60	2.7	2.1	100	1	NA	NA	NA	NA	NA	NA	NA	41.44237702	NA	NA	NA	NA	NA	NA	NA
Stichodactyla	1061	10895	1	15.54	24.44	24.44	NA	NA	NA	1	30	40	15	0	0	0	10	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylaster	824	10895	1.75	3.8095999999999997	27.525	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora	483.6969696969697	10895	1.3636363636363635	2.0557454545454545	24.79090909090909	NA	NA	NA	NA	1	NA	NA	NA	NA	0	1.5454545454545454	NA	0.6363636363636364	0.09090909090909091	NA	NA	3.135283206	1.53794235	NA	1.4	0.9	NA	NA	-136.8753767	37.59605597	NA	NA	NA	93217615.57	1.7031045	1.035433103	27.7376321	NA	NA	NA	NA	NA	NA
Tubastraea	887.8387096774194	10895	1.8064516129032258	5.28258064516129	26.76967741935484	NA	NA	NA	NA	1	2.4516129032258065	2.467741935483871	2.661290322580645	0	0	0	0.6451612903225806	0.22580645161290322	0	1.935483870967742	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tubipora	972	10895	1	8.53	26.1	NA	NA	NA	NA	1	20	25	25	30	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Turbinaria	866.8461538461538	10895	1.0769230769230769	5.208769230769231	25.501538461538463	NA	NA	NA	NA	1	NA	NA	NA	NA	0	2.1538461538461537	NA	1.1538461538461537	0.07692307692307693	NA	NA	0.44973545	0.44973545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Xenia	954.6666666666666	10895	1	7.316666666666666	26.3	NA	NA	NA	3866.6666666666665	1	3.6666666666666665	21.333333333333332	22.666666666666668	0	0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
