"","Discosoma","Ricordea","Letepsammia","Rhombopsammia","Stephanophyllia","Gardineria","Anthemiphyllia","Deltocyathus","Ceratotrochus","Conotrochus","Vaughanella","Stephanocyathus","Caryophyllia","Crispatotrochus","Stenocyathus","Dasmosmilia","Lophelia","Solenosmilia","Desmophyllum","Rhizosmilia","Madrepora","Stylocoeniella","Madracis","Stylophora","Seriatopora","Pocillopora","Heterocyathus","Oulastrea","Phyllangia","Anomastraea","Horastrea","Coscinaraea","Psammocora","Pleuractis","Cycloseris","Ctenactis","Herpolitha","Polyphyllia","Lithophyllon","Heliofungia","Leptastrea","Lobactis","Halomitra","Danafungia","Fungia","Podabacia","Sandalolitha","Zoopilus","Meandrina","Dichocoenia","Eusmilia","Dendrogyra","Solenastrea","Polycyathus","Paracyathus","Cladocora","Astrangia","Oculina","Blastomussa","Physogyra","Plerogyra","Tethocyathus","Plesiastrea","Cyathelia","Trochocyathus","Diploastrea","Montastraea","Mussa","Scolymia","Isophyllia","Mycetophyllia","Mussismilia","Favia","Diploria","Manicina","Colpophyllia","Acanthastrea","Micromussa","Moseleya","Oxypora","Echinophyllia","Cynarina","Lobophyllia","Symphyllia","Orbicella","Cyphastrea","Echinopora","Catalaphyllia","Hydnophora","Leptoria","Platygyra","Favites","Goniastrea","Oulophyllia","Caulastraea","Pectinia","Mycedium","Scapophyllia","Merulina","Barabattoia","Trachyphyllia","Guynia","Fungiacyathus","Tropidocyathus","Cyathotrochus","Notocyathus","Javania","Placotrochides","Placotrochus","Rhizotrochus","Truncatoflabellum","Flabellum","Monomyces","Heteropsammia","Balanophyllia","Endopachys","Leptopsammia","Dendrophyllia","Enallopsammia","Turbinaria","Cladopsammia","Tubastraea","Goniopora","Porites","Stephanocoenia","Hoplangia","Pseudosiderastrea","Siderastrea","Helioseris","Thalamophyllia","Dactylotrochus","Agaricia","Leptoseris","Gardineroseris","Pavona","Pachyseris","Euphyllia","Ctenella","Galaxea","Alveopora","Astreopora","Montipora","Anacropora","Isopora","Acropora"
"Cycloseris",903.406934,903.406934,824.295727,824.295727,824.295727,824.295727,611.581385,553.937095,431.116161,431.116161,431.116161,431.116162,341.745769,341.745769,341.74577,341.745769,341.745769,341.74577,341.74577,341.745769,307.426564,274.972127,274.972127,274.972127,274.972128,274.972127,171.615735,171.615735,171.615735,105.582357,105.582357,105.582357,105.582358,24.844952,0,79.117057,79.117057,79.117057,79.117056,79.117057,79.117057,79.117058,79.117057,79.117057,79.117057,79.117057,79.117057,79.117057,234.271258,234.271259,234.271259,234.271258,234.271258,234.271257,234.271257,234.271257,234.271257,234.271256,234.271258,234.271258,234.271258,234.271258,234.271258,234.271257,234.271257,234.271257,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271259,234.271259,234.271257,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271259,234.271258,234.271259,234.271258,234.271258,234.271259,234.271258,234.271259,234.271257,234.27126,234.271259,234.271258,234.271258,738.886089,738.886087,738.886087,738.886087,738.886088,738.886089,738.886089,738.886088,738.886089,738.886089,738.886087,738.886088,738.886088,738.886088,738.886088,738.886088,738.886089,738.886089,738.886088,738.886089,738.886089,738.886089,738.886089,738.886088,738.886088,738.886088,738.886089,738.886088,738.886089,738.886088,738.886088,738.886088,738.886088,738.886088,738.886089,738.886089,738.88609,738.886089,738.886089,738.886089,738.886089,738.88609,738.886088,738.886089
"Ctenactis",903.406935,903.406935,824.295728,824.295728,824.295728,824.295728,611.581386,553.937096,431.116162,431.116162,431.116162,431.116163,341.74577,341.74577,341.745771,341.74577,341.74577,341.745771,341.745771,341.74577,307.426565,274.972128,274.972128,274.972128,274.972129,274.972128,171.615736,171.615736,171.615736,105.582358,105.582358,105.582358,105.582359,79.117057,79.117057,0,21.484538,21.484538,65.613283,65.613284,65.613284,65.613285,65.613284,65.613284,65.613284,65.613284,65.613284,65.613284,234.271259,234.27126,234.27126,234.271259,234.271259,234.271258,234.271258,234.271258,234.271258,234.271257,234.271259,234.271259,234.271259,234.271259,234.271259,234.271258,234.271258,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.27126,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.271259,234.27126,234.271259,234.271259,234.27126,234.271259,234.27126,234.271258,234.271261,234.27126,234.271259,234.271259,738.88609,738.886088,738.886088,738.886088,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.886088,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.88609,738.88609,738.886089,738.886089,738.886089,738.88609,738.886089,738.88609,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886091,738.88609,738.88609,738.88609,738.88609,738.886091,738.886089,738.88609
"Herpolitha",903.406935,903.406935,824.295728,824.295728,824.295728,824.295728,611.581386,553.937096,431.116162,431.116162,431.116162,431.116163,341.74577,341.74577,341.745771,341.74577,341.74577,341.745771,341.745771,341.74577,307.426565,274.972128,274.972128,274.972128,274.972129,274.972128,171.615736,171.615736,171.615736,105.582358,105.582358,105.582358,105.582359,79.117057,79.117057,21.484538,0,11.511704,65.613283,65.613284,65.613284,65.613285,65.613284,65.613284,65.613284,65.613284,65.613284,65.613284,234.271259,234.27126,234.27126,234.271259,234.271259,234.271258,234.271258,234.271258,234.271258,234.271257,234.271259,234.271259,234.271259,234.271259,234.271259,234.271258,234.271258,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.27126,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.271259,234.27126,234.271259,234.271259,234.27126,234.271259,234.27126,234.271258,234.271261,234.27126,234.271259,234.271259,738.88609,738.886088,738.886088,738.886088,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.886088,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.88609,738.88609,738.886089,738.886089,738.886089,738.88609,738.886089,738.88609,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886091,738.88609,738.88609,738.88609,738.88609,738.886091,738.886089,738.88609
"Polyphyllia",903.406935,903.406935,824.295728,824.295728,824.295728,824.295728,611.581386,553.937096,431.116162,431.116162,431.116162,431.116163,341.74577,341.74577,341.745771,341.74577,341.74577,341.745771,341.745771,341.74577,307.426565,274.972128,274.972128,274.972128,274.972129,274.972128,171.615736,171.615736,171.615736,105.582358,105.582358,105.582358,105.582359,79.117057,79.117057,21.484538,11.511704,0,65.613283,65.613284,65.613284,65.613285,65.613284,65.613284,65.613284,65.613284,65.613284,65.613284,234.271259,234.27126,234.27126,234.271259,234.271259,234.271258,234.271258,234.271258,234.271258,234.271257,234.271259,234.271259,234.271259,234.271259,234.271259,234.271258,234.271258,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.27126,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.271259,234.27126,234.271259,234.271259,234.27126,234.271259,234.27126,234.271258,234.271261,234.27126,234.271259,234.271259,738.88609,738.886088,738.886088,738.886088,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.886088,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.88609,738.88609,738.886089,738.886089,738.886089,738.88609,738.886089,738.88609,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886091,738.88609,738.88609,738.88609,738.88609,738.886091,738.886089,738.88609
"Lithophyllon",903.406934,903.406934,824.295727,824.295727,824.295727,824.295727,611.581385,553.937095,431.116161,431.116161,431.116161,431.116162,341.745769,341.745769,341.74577,341.745769,341.745769,341.74577,341.74577,341.745769,307.426564,274.972127,274.972127,274.972127,274.972128,274.972127,171.615735,171.615735,171.615735,105.582357,105.582357,105.582357,105.582358,79.117056,79.117056,65.613283,65.613283,65.613283,0,54.411227,54.411227,54.411228,54.411227,54.411227,54.411227,54.411227,54.411227,54.411227,234.271258,234.271259,234.271259,234.271258,234.271258,234.271257,234.271257,234.271257,234.271257,234.271256,234.271258,234.271258,234.271258,234.271258,234.271258,234.271257,234.271257,234.271257,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271259,234.271259,234.271257,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271258,234.271259,234.271258,234.271259,234.271258,234.271258,234.271259,234.271258,234.271259,234.271257,234.27126,234.271259,234.271258,234.271258,738.886089,738.886087,738.886087,738.886087,738.886088,738.886089,738.886089,738.886088,738.886089,738.886089,738.886087,738.886088,738.886088,738.886088,738.886088,738.886088,738.886089,738.886089,738.886088,738.886089,738.886089,738.886089,738.886089,738.886088,738.886088,738.886088,738.886089,738.886088,738.886089,738.886088,738.886088,738.886088,738.886088,738.886088,738.886089,738.886089,738.88609,738.886089,738.886089,738.886089,738.886089,738.88609,738.886088,738.886089
"Heliofungia",903.406935,903.406935,824.295728,824.295728,824.295728,824.295728,611.581386,553.937096,431.116162,431.116162,431.116162,431.116163,341.74577,341.74577,341.745771,341.74577,341.74577,341.745771,341.745771,341.74577,307.426565,274.972128,274.972128,274.972128,274.972129,274.972128,171.615736,171.615736,171.615736,105.582358,105.582358,105.582358,105.582359,79.117057,79.117057,65.613284,65.613284,65.613284,54.411227,0,31.81995,45.341993,45.341992,45.341992,45.341992,45.341992,45.341992,45.341992,234.271259,234.27126,234.27126,234.271259,234.271259,234.271258,234.271258,234.271258,234.271258,234.271257,234.271259,234.271259,234.271259,234.271259,234.271259,234.271258,234.271258,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.27126,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.271259,234.27126,234.271259,234.271259,234.27126,234.271259,234.27126,234.271258,234.271261,234.27126,234.271259,234.271259,738.88609,738.886088,738.886088,738.886088,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.886088,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.88609,738.88609,738.886089,738.886089,738.886089,738.88609,738.886089,738.88609,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886091,738.88609,738.88609,738.88609,738.88609,738.886091,738.886089,738.88609
"Leptastrea",903.406935,903.406935,824.295728,824.295728,824.295728,824.295728,611.581386,553.937096,431.116162,431.116162,431.116162,431.116163,341.74577,341.74577,341.745771,341.74577,341.74577,341.745771,341.745771,341.74577,307.426565,274.972128,274.972128,274.972128,274.972129,274.972128,171.615736,171.615736,171.615736,105.582358,105.582358,105.582358,105.582359,79.117057,79.117057,65.613284,65.613284,65.613284,54.411227,31.81995,0,45.341993,45.341992,45.341992,45.341992,45.341992,45.341992,45.341992,234.271259,234.27126,234.27126,234.271259,234.271259,234.271258,234.271258,234.271258,234.271258,234.271257,234.271259,234.271259,234.271259,234.271259,234.271259,234.271258,234.271258,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.27126,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.271259,234.27126,234.271259,234.271259,234.27126,234.271259,234.27126,234.271258,234.271261,234.27126,234.271259,234.271259,738.88609,738.886088,738.886088,738.886088,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.886088,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.88609,738.88609,738.886089,738.886089,738.886089,738.88609,738.886089,738.88609,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886091,738.88609,738.88609,738.88609,738.88609,738.886091,738.886089,738.88609
"Lobactis",903.406936,903.406936,824.295729,824.295729,824.295729,824.295729,611.581387,553.937097,431.116163,431.116163,431.116163,431.116164,341.745771,341.745771,341.745772,341.745771,341.745771,341.745772,341.745772,341.745771,307.426566,274.972129,274.972129,274.972129,274.97213,274.972129,171.615737,171.615737,171.615737,105.582359,105.582359,105.582359,105.58236,79.117058,79.117058,65.613285,65.613285,65.613285,54.411228,45.341993,45.341993,0,24.506227,24.506227,24.506227,38.894139,38.894139,38.894139,234.27126,234.271261,234.271261,234.27126,234.27126,234.271259,234.271259,234.271259,234.271259,234.271258,234.27126,234.27126,234.27126,234.27126,234.27126,234.271259,234.271259,234.271259,234.27126,234.27126,234.27126,234.27126,234.27126,234.27126,234.27126,234.27126,234.271261,234.271261,234.271259,234.27126,234.27126,234.27126,234.27126,234.27126,234.27126,234.27126,234.27126,234.27126,234.27126,234.27126,234.271261,234.27126,234.271261,234.27126,234.27126,234.271261,234.27126,234.271261,234.271259,234.271262,234.271261,234.27126,234.27126,738.886091,738.886089,738.886089,738.886089,738.88609,738.886091,738.886091,738.88609,738.886091,738.886091,738.886089,738.88609,738.88609,738.88609,738.88609,738.88609,738.886091,738.886091,738.88609,738.886091,738.886091,738.886091,738.886091,738.88609,738.88609,738.88609,738.886091,738.88609,738.886091,738.88609,738.88609,738.88609,738.88609,738.88609,738.886091,738.886091,738.886092,738.886091,738.886091,738.886091,738.886091,738.886092,738.88609,738.886091
"Halomitra",903.406935,903.406935,824.295728,824.295728,824.295728,824.295728,611.581386,553.937096,431.116162,431.116162,431.116162,431.116163,341.74577,341.74577,341.745771,341.74577,341.74577,341.745771,341.745771,341.74577,307.426565,274.972128,274.972128,274.972128,274.972129,274.972128,171.615736,171.615736,171.615736,105.582358,105.582358,105.582358,105.582359,79.117057,79.117057,65.613284,65.613284,65.613284,54.411227,45.341992,45.341992,24.506227,0,6.584984,14.048444,38.894138,38.894138,38.894138,234.271259,234.27126,234.27126,234.271259,234.271259,234.271258,234.271258,234.271258,234.271258,234.271257,234.271259,234.271259,234.271259,234.271259,234.271259,234.271258,234.271258,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.27126,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.271259,234.27126,234.271259,234.271259,234.27126,234.271259,234.27126,234.271258,234.271261,234.27126,234.271259,234.271259,738.88609,738.886088,738.886088,738.886088,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.886088,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.88609,738.88609,738.886089,738.886089,738.886089,738.88609,738.886089,738.88609,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886091,738.88609,738.88609,738.88609,738.88609,738.886091,738.886089,738.88609
"Danafungia",903.406935,903.406935,824.295728,824.295728,824.295728,824.295728,611.581386,553.937096,431.116162,431.116162,431.116162,431.116163,341.74577,341.74577,341.745771,341.74577,341.74577,341.745771,341.745771,341.74577,307.426565,274.972128,274.972128,274.972128,274.972129,274.972128,171.615736,171.615736,171.615736,105.582358,105.582358,105.582358,105.582359,79.117057,79.117057,65.613284,65.613284,65.613284,54.411227,45.341992,45.341992,24.506227,6.584984,0,14.048444,38.894138,38.894138,38.894138,234.271259,234.27126,234.27126,234.271259,234.271259,234.271258,234.271258,234.271258,234.271258,234.271257,234.271259,234.271259,234.271259,234.271259,234.271259,234.271258,234.271258,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.27126,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.271259,234.27126,234.271259,234.271259,234.27126,234.271259,234.27126,234.271258,234.271261,234.27126,234.271259,234.271259,738.88609,738.886088,738.886088,738.886088,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.886088,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.88609,738.88609,738.886089,738.886089,738.886089,738.88609,738.886089,738.88609,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886091,738.88609,738.88609,738.88609,738.88609,738.886091,738.886089,738.88609
"Fungia",903.406935,903.406935,824.295728,824.295728,824.295728,824.295728,611.581386,553.937096,431.116162,431.116162,431.116162,431.116163,341.74577,341.74577,341.745771,341.74577,341.74577,341.745771,341.745771,341.74577,307.426565,274.972128,274.972128,274.972128,274.972129,274.972128,171.615736,171.615736,171.615736,105.582358,105.582358,105.582358,105.582359,79.117057,79.117057,65.613284,65.613284,65.613284,54.411227,45.341992,45.341992,24.506227,14.048444,14.048444,0,38.894138,38.894138,38.894138,234.271259,234.27126,234.27126,234.271259,234.271259,234.271258,234.271258,234.271258,234.271258,234.271257,234.271259,234.271259,234.271259,234.271259,234.271259,234.271258,234.271258,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.27126,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.271259,234.27126,234.271259,234.271259,234.27126,234.271259,234.27126,234.271258,234.271261,234.27126,234.271259,234.271259,738.88609,738.886088,738.886088,738.886088,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.886088,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.88609,738.88609,738.886089,738.886089,738.886089,738.88609,738.886089,738.88609,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886091,738.88609,738.88609,738.88609,738.88609,738.886091,738.886089,738.88609
"Podabacia",903.406935,903.406935,824.295728,824.295728,824.295728,824.295728,611.581386,553.937096,431.116162,431.116162,431.116162,431.116163,341.74577,341.74577,341.745771,341.74577,341.74577,341.745771,341.745771,341.74577,307.426565,274.972128,274.972128,274.972128,274.972129,274.972128,171.615736,171.615736,171.615736,105.582358,105.582358,105.582358,105.582359,79.117057,79.117057,65.613284,65.613284,65.613284,54.411227,45.341992,45.341992,38.894139,38.894138,38.894138,38.894138,0,15.231098,15.231098,234.271259,234.27126,234.27126,234.271259,234.271259,234.271258,234.271258,234.271258,234.271258,234.271257,234.271259,234.271259,234.271259,234.271259,234.271259,234.271258,234.271258,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.27126,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.271259,234.27126,234.271259,234.271259,234.27126,234.271259,234.27126,234.271258,234.271261,234.27126,234.271259,234.271259,738.88609,738.886088,738.886088,738.886088,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.886088,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.88609,738.88609,738.886089,738.886089,738.886089,738.88609,738.886089,738.88609,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886091,738.88609,738.88609,738.88609,738.88609,738.886091,738.886089,738.88609
"Sandalolitha",903.406935,903.406935,824.295728,824.295728,824.295728,824.295728,611.581386,553.937096,431.116162,431.116162,431.116162,431.116163,341.74577,341.74577,341.745771,341.74577,341.74577,341.745771,341.745771,341.74577,307.426565,274.972128,274.972128,274.972128,274.972129,274.972128,171.615736,171.615736,171.615736,105.582358,105.582358,105.582358,105.582359,79.117057,79.117057,65.613284,65.613284,65.613284,54.411227,45.341992,45.341992,38.894139,38.894138,38.894138,38.894138,15.231098,0,9.464898,234.271259,234.27126,234.27126,234.271259,234.271259,234.271258,234.271258,234.271258,234.271258,234.271257,234.271259,234.271259,234.271259,234.271259,234.271259,234.271258,234.271258,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.27126,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.271259,234.27126,234.271259,234.271259,234.27126,234.271259,234.27126,234.271258,234.271261,234.27126,234.271259,234.271259,738.88609,738.886088,738.886088,738.886088,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.886088,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.88609,738.88609,738.886089,738.886089,738.886089,738.88609,738.886089,738.88609,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886091,738.88609,738.88609,738.88609,738.88609,738.886091,738.886089,738.88609
"Zoopilus",903.406935,903.406935,824.295728,824.295728,824.295728,824.295728,611.581386,553.937096,431.116162,431.116162,431.116162,431.116163,341.74577,341.74577,341.745771,341.74577,341.74577,341.745771,341.745771,341.74577,307.426565,274.972128,274.972128,274.972128,274.972129,274.972128,171.615736,171.615736,171.615736,105.582358,105.582358,105.582358,105.582359,79.117057,79.117057,65.613284,65.613284,65.613284,54.411227,45.341992,45.341992,38.894139,38.894138,38.894138,38.894138,15.231098,9.464898,0,234.271259,234.27126,234.27126,234.271259,234.271259,234.271258,234.271258,234.271258,234.271258,234.271257,234.271259,234.271259,234.271259,234.271259,234.271259,234.271258,234.271258,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.27126,234.271258,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.271259,234.27126,234.271259,234.271259,234.27126,234.271259,234.27126,234.271258,234.271261,234.27126,234.271259,234.271259,738.88609,738.886088,738.886088,738.886088,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.886088,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886089,738.88609,738.88609,738.88609,738.88609,738.886089,738.886089,738.886089,738.88609,738.886089,738.88609,738.886089,738.886089,738.886089,738.886089,738.886089,738.88609,738.88609,738.886091,738.88609,738.88609,738.88609,738.88609,738.886091,738.886089,738.88609
"Meandrina",903.406936,903.406936,824.295729,824.295729,824.295729,824.295729,611.581387,553.937097,431.116163,431.116163,431.116163,431.116164,341.745771,341.745771,341.745772,341.745771,341.745771,341.745772,341.745772,341.745771,307.426566,274.972129,274.972129,274.972129,274.97213,274.972129,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,234.27126,234.271258,234.271258,234.271259,234.271259,234.271259,234.271258,234.271259,234.271259,234.27126,234.271259,234.271259,234.271259,234.271259,234.271259,234.271259,0,30.276837,30.276837,30.276836,119.323734,119.323733,119.323733,119.323733,119.323733,119.323732,201.457668,201.457668,201.457668,201.457668,201.457668,201.457667,201.457667,201.457667,201.457668,201.457668,201.457668,201.457668,201.457668,201.457668,201.457668,201.457668,201.457669,201.457669,201.457667,201.457668,201.457668,201.457668,201.457668,201.457668,201.457668,201.457668,201.457668,201.457668,201.457668,201.457668,201.457669,201.457668,201.457669,201.457668,201.457668,201.457669,201.457668,201.457669,201.457667,201.45767,201.457669,201.457668,201.457668,738.886091,738.886089,738.886089,738.886089,738.88609,738.886091,738.886091,738.88609,738.886091,738.886091,738.886089,738.88609,738.88609,738.88609,738.88609,738.88609,738.886091,738.886091,738.88609,738.886091,738.886091,738.886091,738.886091,738.88609,738.88609,738.88609,738.886091,738.88609,738.886091,738.88609,738.88609,738.88609,738.88609,738.88609,738.886091,738.886091,738.886092,738.886091,738.886091,738.886091,738.886091,738.886092,738.88609,738.886091
"Dichocoenia",903.406937,903.406937,824.29573,824.29573,824.29573,824.29573,611.581388,553.937098,431.116164,431.116164,431.116164,431.116165,341.745772,341.745772,341.745773,341.745772,341.745772,341.745773,341.745773,341.745772,307.426567,274.97213,274.97213,274.97213,274.972131,274.97213,234.27126,234.27126,234.27126,234.27126,234.27126,234.27126,234.271261,234.271259,234.271259,234.27126,234.27126,234.27126,234.271259,234.27126,234.27126,234.271261,234.27126,234.27126,234.27126,234.27126,234.27126,234.27126,30.276837,0,6.81952,14.809431,119.323735,119.323734,119.323734,119.323734,119.323734,119.323733,201.457669,201.457669,201.457669,201.457669,201.457669,201.457668,201.457668,201.457668,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.45767,201.45767,201.457668,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.45767,201.457669,201.45767,201.457669,201.457669,201.45767,201.457669,201.45767,201.457668,201.457671,201.45767,201.457669,201.457669,738.886092,738.88609,738.88609,738.88609,738.886091,738.886092,738.886092,738.886091,738.886092,738.886092,738.88609,738.886091,738.886091,738.886091,738.886091,738.886091,738.886092,738.886092,738.886091,738.886092,738.886092,738.886092,738.886092,738.886091,738.886091,738.886091,738.886092,738.886091,738.886092,738.886091,738.886091,738.886091,738.886091,738.886091,738.886092,738.886092,738.886093,738.886092,738.886092,738.886092,738.886092,738.886093,738.886091,738.886092
"Eusmilia",903.406937,903.406937,824.29573,824.29573,824.29573,824.29573,611.581388,553.937098,431.116164,431.116164,431.116164,431.116165,341.745772,341.745772,341.745773,341.745772,341.745772,341.745773,341.745773,341.745772,307.426567,274.97213,274.97213,274.97213,274.972131,274.97213,234.27126,234.27126,234.27126,234.27126,234.27126,234.27126,234.271261,234.271259,234.271259,234.27126,234.27126,234.27126,234.271259,234.27126,234.27126,234.271261,234.27126,234.27126,234.27126,234.27126,234.27126,234.27126,30.276837,6.81952,0,14.809431,119.323735,119.323734,119.323734,119.323734,119.323734,119.323733,201.457669,201.457669,201.457669,201.457669,201.457669,201.457668,201.457668,201.457668,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.45767,201.45767,201.457668,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.457669,201.45767,201.457669,201.45767,201.457669,201.457669,201.45767,201.457669,201.45767,201.457668,201.457671,201.45767,201.457669,201.457669,738.886092,738.88609,738.88609,738.88609,738.886091,738.886092,738.886092,738.886091,738.886092,738.886092,738.88609,738.886091,738.886091,738.886091,738.886091,738.886091,738.886092,738.886092,738.886091,738.886092,738.886092,738.886092,738.886092,738.886091,738.886091,738.886091,738.886092,738.886091,738.886092,738.886091,738.886091,738.886091,738.886091,738.886091,738.886092,738.886092,738.886093,738.886092,738.886092,738.886092,738.886092,738.886093,738.886091,738.886092
