Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
percent_diseased,dominance_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.00022818,0.48393918,0.459364856,0.0115481722149666 + 1.96260230775597 - -1.95739769224403,0.0954606511785513 + 2.01386717470202 - -1.90613282529798,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.311870312709263,-46.75505135,-46.15505135,Model_3l_AIC,Model_3l_AICc
percent_black_band_disease,observed_features_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.755263275,0.00472691,-0.042667046,20.5547562410271 + 67.0456320001544 - 63.1256320001544,99.5320419094199 + 101.730839564231 - 97.810839564231,"lambda=1,delta=1,kappa=1",NA,271.6588382,272.2588382,,
percent_black_band_disease,observed_features_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.848966339,0.001766999,-0.045767905,-5.168832683,94.7224235006283 + 16.8243679084714 - 12.9043679084714,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.738760807496459,257.4110736,258.0110736,,
percent_black_band_disease,observed_features_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.809417686,0.002832512,-0.044651654,15.2761237098266 + 64.5063079727104 - 60.5863079727104,99.7047346191463 + 47.6768226312717 - 43.7568226312717,"lambda=l,delta=ML,kappa=1",3 -/+ 1.41113126366816,266.3563016,266.9563016,,
percent_black_band_disease,observed_features_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.796092476,0.003251003,-0.044213235,13.0033578357848 + 51.6455463954586 - 47.7255463954586,103.624305765618 + 56.0016636621942 - 52.0816636621942,"lambda=1,delta=1,kappa=ML",0.286283540098607 -/+ 0.820375748005221,264.9256804,265.5256804,Model_3l_AIC,Model_3l_AICc
percent_black_band_disease,gini_index_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.383777825,0.036313677,-0.009576147,0.0705576421636375 + 2.03931715790717 - -1.88068284209283,0.890117478610119 + 2.08158658052561 - -1.83841341947439,"lambda=1,delta=1,kappa=1",NA,-37.00137455,-36.40137455,,
percent_black_band_disease,gini_index_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.665834277,0.009054118,-0.038133781,0.0229288171373505 + 2.01234484154179 - -1.90765515845821,0.881804047083234 + 1.97650532643526 - -1.94349467356474,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.416181663304478,-55.52872356,-54.92872356,,
percent_black_band_disease,gini_index_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.430211472,0.029887173,-0.016308676,0.0606510020887787 + 2.03540446031317 - -1.88459553968683,0.888652479938932 + 2.01511520103229 - -1.90488479896771,"lambda=l,delta=ML,kappa=1",3 -/+ 1.53265403620976,-42.80031714,-42.20031714,,
percent_black_band_disease,gini_index_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.500081712,0.021931896,-0.024642775,0.0404835421520964 + 2.018995014505 - -1.901004985495,0.905569570845194 + 2.02045731174464 - -1.89954268825536,"lambda=1,delta=1,kappa=ML",0.142350082453285 -/+ 0.810403333036078,-43.36138027,-42.76138027,Model_3l_AIC,Model_3l_AICc
percent_black_band_disease,dominance_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.873603532,0.001233375,-0.04632694,0.0185087395199173 + 2.07493480315325 - -1.84506519684675,0.16376657701927 + 2.13618545681053 - -1.78381454318947,"lambda=1,delta=1,kappa=1",NA,-19.93948851,-19.33948851,,
