Coral Genus,Ocean,Political Area,Site Name,Reef Name,Latitude,Longitude,N
Goniastrea,Indian,"Reunion, France",East Reunion,Trou d_Eau,-21.103333,55.243056,3
Goniastrea,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,2
Goniastrea,Pacific,Australia,Lord Howe Island,Far Flats,-31.5617667,159.07475,6
Goniopora,Indian,"Reunion, France",East Reunion,Saint-Leu,-21.176667,55.285833,3
Goniopora,Indian,Saudi Arabia,Farasan Banks,Long,19.89028,39.96056,3
Goniopora,Indian,Saudi Arabia,KAUST House Reefs,Inner Fsar,22.21732,39.02624,2
Heliopora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.68344,145.46554,3
Herpolitha,Indian,Saudi Arabia,KAUST House Reefs,Inner Fsar,22.21732,39.02624,1
Heteractis,Indian,Saudi Arabia,KAUST House Reefs,Inner Fsar,22.21732,39.02624,1
Homophyllia,Pacific,Australia,Lord Howe Island,Far Flats,-31.5617667,159.07475,6
Hydnophora,Indian,Australia,Ningaloo,Bills Bay,-23.140369,113.769166,8
Hydnophora,Indian,"Reunion, France",East Reunion,Saint-Leu,-21.176667,55.285833,3
Hydnophora,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,6
Hydnophora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Big Vickie,-14.68463,145.44175,3
Isopora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Big Vickie,-14.68463,145.44175,2
Isopora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.68344,145.46554,3
Isopora,Pacific,Australia,Lord Howe Island,North Bay,-31.52135,159.0467333,5
Leptastrea,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Horseshoe,-14.68716,145.44449,2
Leptoria,Indian,"Reunion, France",East Reunion,Pass,-21.087222,55.220278,3
Leptoria,Indian,"Reunion, France",East Reunion,Saint-Leu,-21.176667,55.285833,3
Lithophyllon,Indian,Singapore,Singapore,Raffles Lighthouse,1.160517,103.740444,1
Lobophyllia,Indian,Australia,Ningaloo,Bills Bay,-23.140369,113.769166,2
