,EUP_Plerogyra,DEN_Tubastraea,AGA_Pachyseris,POR_Alveopora,DEN_Turbinaria,FAV_Diploastrea_heliopora,POC_Stylophora
EUP_Plerogyra,0.0,0.5573463672558595,0.5573463672558595,0.5573463672558595,0.5573463665015532,0.13288748963477665,0.20741318460514852
DEN_Tubastraea,0.5573463672558595,0.0,0.34057211283836775,0.34057211283836775,0.01164187530685931,0.5573463665015532,0.5573463665015532
AGA_Pachyseris,0.5573463672558595,0.34057211283836775,0.0,0.1927926053660475,0.3405721120840616,0.5573463665015532,0.5573463665015532
POR_Alveopora,0.5573463672558595,0.34057211283836775,0.1927926053660475,0.0,0.3405721120840616,0.5573463665015532,0.5573463665015532
DEN_Turbinaria,0.5573463665015532,0.01164187530685931,0.3405721120840616,0.3405721120840616,0.0,0.557346365747247,0.557346365747247
FAV_Diploastrea_heliopora,0.13288748963477665,0.5573463665015532,0.5573463665015532,0.5573463665015532,0.557346365747247,0.0,0.20741318385084231
POC_Stylophora,0.20741318460514852,0.5573463665015532,0.5573463665015532,0.5573463665015532,0.557346365747247,0.20741318385084231,0.0
